año,mes,viajeros,modo_transporte,distancia_tipo
2023,1,2722000,ferrocarril,larga
2023,1,3238000,ferrocarril,media
2023,1,1122000,autobus,larga
2023,1,15908000,autobus,media
2023,2,2688000,ferrocarril,larga
2023,2,3369000,ferrocarril,media
2023,2,972000,autobus,larga
2023,2,16105000,autobus,media
2023,3,3287000,ferrocarril,larga
2023,3,4136000,ferrocarril,media
2023,3,1191000,autobus,larga
2023,3,18973000,autobus,media
2023,4,3395000,ferrocarril,larga
2023,4,4042000,ferrocarril,media
2023,4,1213000,autobus,larga
2023,4,17116000,autobus,media
2023,5,3617000,ferrocarril,larga
2023,5,4011000,ferrocarril,media
2023,5,1179000,autobus,larga
2023,5,18919000,autobus,media
2023,6,3740000,ferrocarril,larga
2023,6,4099000,ferrocarril,media
2023,6,1446000,autobus,larga
2023,6,18890000,autobus,media
2023,7,3884000,ferrocarril,larga
2023,7,4459000,ferrocarril,media
2023,7,1764000,autobus,larga
2023,7,19407000,autobus,media
2023,8,3552000,ferrocarril,larga
2023,8,3336000,ferrocarril,media
2023,8,1663000,autobus,larga
2023,8,18571000,autobus,media
2023,9,3626000,ferrocarril,larga
2023,9,6580000,ferrocarril,media
2023,9,1348000,autobus,larga
2023,9,20089000,autobus,media
2023,10,3779000,ferrocarril,larga
2023,10,4502000,ferrocarril,media
2023,10,1338000,autobus,larga
2023,10,20971000,autobus,media
2023,11,3458000,ferrocarril,larga
2023,11,3975000,ferrocarril,media
2023,11,1252000,autobus,larga
2023,11,20063000,autobus,media
2023,12,3601000,ferrocarril,larga
2023,12,4675000,ferrocarril,media
2023,12,1286000,autobus,larga
2023,12,17972000,autobus,media
2024,1,3284000,ferrocarril,larga
2024,1,3654000,ferrocarril,media
2024,1,1269000,autobus,larga
2024,1,19597000,autobus,media
2024,2,3484000,ferrocarril,larga
2024,2,4020000,ferrocarril,media
2024,2,1277000,autobus,larga
2024,2,20311000,autobus,media
2024,3,3916000,ferrocarril,larga
2024,3,4108000,ferrocarril,media
2024,3,1514000,autobus,larga
2024,3,20192000,autobus,media
2024,4,3969000,ferrocarril,larga
2024,4,4337000,ferrocarril,media
2024,4,1500000,autobus,larga
2024,4,21320000,autobus,media
2024,5,4190000,ferrocarril,larga
2024,5,4983000,ferrocarril,media
2024,5,1465000,autobus,larga
2024,5,21716000,autobus,media
2024,6,4340000,ferrocarril,larga
2024,6,4341000,ferrocarril,media
2024,6,1757000,autobus,larga
2024,6,20964000,autobus,media
2024,7,4554000,ferrocarril,larga
2024,7,6588000,ferrocarril,media
2024,7,2296000,autobus,larga
2024,7,22858000,autobus,media
2024,8,4210000,ferrocarril,larga
2024,8,4242000,ferrocarril,media
2024,8,2168000,autobus,larga
2024,8,21273000,autobus,media
2024,9,4282000,ferrocarril,larga
2024,9,4156000,ferrocarril,media
2024,9,1698000,autobus,larga
2024,9,22653000,autobus,media
2024,10,4341000,ferrocarril,larga
2024,10,5103000,ferrocarril,media
2024,10,1598000,autobus,larga
2024,10,23546000,autobus,media
2024,11,3673000,ferrocarril,larga
2024,11,4766000,ferrocarril,media
2024,11,1422000,autobus,larga
2024,11,21854000,autobus,media
2024,12,4031000,ferrocarril,larga
2024,12,3460000,ferrocarril,media
2024,12,1457000,autobus,larga
2024,12,19662000,autobus,media
2025,1,3740000,ferrocarril,larga
2025,1,3617000,ferrocarril,media
2025,1,1388000,autobus,larga
2025,1,20145000,autobus,media
2025,2,3785000,ferrocarril,larga
2025,2,3771000,ferrocarril,media
2025,2,1363000,autobus,larga
2025,2,21834000,autobus,media
2025,3,4411000,ferrocarril,larga
2025,3,4140000,ferrocarril,media
2025,3,1549000,autobus,larga
2025,3,22990000,autobus,media
2025,4,4481000,ferrocarril,larga
2025,4,4158000,ferrocarril,media
2025,4,1656000,autobus,larga
2025,4,22502000,autobus,media
2025,5,4647000,ferrocarril,larga
2025,5,4248000,ferrocarril,media
2025,5,1538000,autobus,larga
2025,5,23919000,autobus,media
2025,6,4828000,ferrocarril,larga
2025,6,4331000,ferrocarril,media
2025,6,1777000,autobus,larga
2025,6,23817000,autobus,media
2025,7,5027000,ferrocarril,larga
2025,7,3551000,ferrocarril,media
2025,7,2386000,autobus,larga
2025,7,24771000,autobus,media
2025,8,4506000,ferrocarril,larga
2025,8,3205000,ferrocarril,media
2025,8,2432000,autobus,larga
2025,8,22678000,autobus,media
2025,9,4526000,ferrocarril,larga
2025,9,4615000,ferrocarril,media
2025,9,1852000,autobus,larga
2025,9,24984000,autobus,media
2025,10,4427000,ferrocarril,larga
2025,10,4778000,ferrocarril,media
2025,10,1701000,autobus,larga
2025,10,26868000,autobus,media
2025,11,4065000,ferrocarril,larga
2025,11,3968000,ferrocarril,media
2025,11,1522000,autobus,larga
2025,11,24347000,autobus,media
