mes,empresa,tipo_de_servicio,tipo_de_producto,origen,destino,precio
2022-11,iryo,comercial,ld av,madrid,barcelona,45.73
2022-11,ouigo,comercial,ld av,madrid,barcelona,40.85
2022-11,ouigo,comercial,ld av,madrid,valencia/valencia,25.08
2022-11,renfe-ave,comercial,ld av,madrid,alicante/alacant,48.73
2022-11,renfe-ave,comercial,ld av,madrid,barcelona,78.78
2022-11,renfe-ave,comercial,ld av,madrid,malaga,67.77
2022-11,renfe-ave,comercial,ld av,madrid,sevilla,66.82
2022-11,renfe-ave,comercial,ld av,madrid,valencia/valencia,55.16
2022-11,renfe-avlo,comercial,ld av,madrid,barcelona,49.31
2022-11,renfe-avlo,comercial,ld av,madrid,valencia/valencia,30.23
2022-12,iryo,comercial,ld av,madrid,barcelona,46.94
2022-12,iryo,comercial,ld av,madrid,valencia/valencia,25.84
2022-12,ouigo,comercial,ld av,madrid,barcelona,46.24
2022-12,ouigo,comercial,ld av,madrid,valencia/valencia,231.0
2022-12,renfe-ave,comercial,ld av,madrid,alicante/alacant,54.36
2022-12,renfe-ave,comercial,ld av,madrid,barcelona,80.63
2022-12,renfe-ave,comercial,ld av,madrid,malaga,73.07
2022-12,renfe-ave,comercial,ld av,madrid,sevilla,70.31
2022-12,renfe-ave,comercial,ld av,madrid,valencia/valencia,49.78
2022-12,renfe-avlo,comercial,ld av,madrid,barcelona,53.96
2022-12,renfe-avlo,comercial,ld av,madrid,valencia/valencia,26.83
2023-01,iryo,comercial,ld av,madrid,barcelona,30.52
2023-01,iryo,comercial,ld av,madrid,valencia/valencia,20.77
2023-01,ouigo,comercial,ld av,madrid,barcelona,30.49
2023-01,ouigo,comercial,ld av,madrid,valencia/valencia,20.59
2023-01,renfe-ave,comercial,ld av,madrid,alicante/alacant,46.92
2023-01,renfe-ave,comercial,ld av,madrid,barcelona,64.56
2023-01,renfe-ave,comercial,ld av,madrid,malaga,57.67
2023-01,renfe-ave,comercial,ld av,madrid,sevilla,58.74
2023-01,renfe-ave,comercial,ld av,madrid,valencia/valencia,378.0
2023-01,renfe-avlo,comercial,ld av,madrid,barcelona,37.06
2023-01,renfe-avlo,comercial,ld av,madrid,valencia/valencia,22.86
2023-02,iryo,comercial,ld av,madrid,barcelona,311.0
2023-02,iryo,comercial,ld av,madrid,valencia/valencia,206.0
2023-02,ouigo,comercial,ld av,madrid,barcelona,31.27
2023-02,ouigo,comercial,ld av,madrid,valencia/valencia,22.85
2023-02,renfe-ave,comercial,ld av,madrid,alicante/alacant,48.69
2023-02,renfe-ave,comercial,ld av,madrid,barcelona,67.23
2023-02,renfe-ave,comercial,ld av,madrid,malaga,61.39
2023-02,renfe-ave,comercial,ld av,madrid,sevilla,62.57
2023-02,renfe-ave,comercial,ld av,madrid,valencia/valencia,34.71
