id_pais,id_provincia,provincia_nombre,mes,categoria,subcategoria,valoracion_general_promedio,total_opiniones_categoria_promedio,precio_medio_entrada_promedio,gasto_total_promedio
ES,04,almería,1,paisaje naturaleza,actividades infantiles,4.19,23376,87.50,4123.00
ES,11,cádiz,1,paisaje naturaleza,actividades infantiles,4.26,12350,2151.75,95390.25
ES,14,córdoba,1,paisaje naturaleza,actividades infantiles,4.29,3767,1044.50,147685.50
ES,18,granada,1,paisaje naturaleza,actividades infantiles,4.37,18492,601.67,67115.00
ES,21,huelva,1,paisaje naturaleza,actividades infantiles,4.11,8396,499.00,25675.00
ES,23,jaén,1,paisaje naturaleza,actividades infantiles,4.33,4366,300.00,1500.00
ES,29,málaga,1,paisaje naturaleza,actividades infantiles,4.43,109648,617.60,345834.80
ES,41,sevilla,1,paisaje naturaleza,actividades infantiles,4.34,21476,1086.40,412405.20
ES,50,zaragoza,1,paisaje naturaleza,actividades infantiles,4.21,5888,875.00,1008945.00
ES,35,las palmas,1,paisaje naturaleza,actividades infantiles,4.28,200378,726.50,7527.00
ES,38,santa cruz de tenerife,1,paisaje naturaleza,actividades infantiles,4.26,190067,381.00,16951.83
ES,39,cantabria,1,paisaje naturaleza,actividades infantiles,4.27,37946,385.33,114348.67
ES,02,albacete,1,paisaje naturaleza,actividades infantiles,4.15,3169,905.00,378724.25
ES,45,toledo,1,paisaje naturaleza,actividades infantiles,4.18,1715,830.20,34538.40
ES,05,ávila,1,paisaje naturaleza,actividades infantiles,4.23,1874,758.00,9854.00
ES,24,león,1,paisaje naturaleza,actividades infantiles,4.21,4506,160.00,1480.00
ES,37,salamanca,1,paisaje naturaleza,actividades infantiles,4.17,3319,1076.00,31230.00
ES,42,soria,1,paisaje naturaleza,actividades infantiles,3.97,2792,137.00,1096.00
ES,47,valladolid,1,paisaje naturaleza,actividades infantiles,4.06,8696,608.83,327647.83
ES,49,zamora,1,paisaje naturaleza,actividades infantiles,4.17,2116,209.00,22154.00
ES,08,barcelona,1,paisaje naturaleza,actividades infantiles,4.05,200444,1387.60,393012.73
ES,17,girona,1,paisaje naturaleza,actividades infantiles,4.24,61683,769.88,23614.12
ES,43,tarragona,1,paisaje naturaleza,actividades infantiles,4.20,33701,1608.20,57344.20
ES,28,madrid,1,paisaje naturaleza,actividades infantiles,4.10,121795,1007.73,117634.27
ES,31,navarra,1,paisaje naturaleza,actividades infantiles,4.23,7007,3143.50,3953396.00
ES,03,alicante/alacant,1,paisaje naturaleza,actividades infantiles,4.28,82424,1438.50,154905.75
ES,46,valencia/valència,1,paisaje naturaleza,actividades infantiles,4.15,90776,995.50,1660805.75
ES,06,badajoz,1,paisaje naturaleza,actividades infantiles,4.29,1116,153.33,20337.33
ES,10,cáceres,1,paisaje naturaleza,actividades infantiles,4.33,5814,819.25,82452.50
ES,15,a coruña,1,paisaje naturaleza,actividades infantiles,4.21,18974,480.33,71495.33
ES,27,lugo,1,paisaje naturaleza,actividades infantiles,4.28,8089,1633.00,9798.00
ES,36,pontevedra,1,paisaje naturaleza,actividades infantiles,4.17,15699,571.00,3997.00
ES,07,illes balears,1,paisaje naturaleza,actividades infantiles,4.33,203636,1108.47,131874.95
ES,26,la rioja,1,paisaje naturaleza,actividades infantiles,4.31,18300,1571.00,43988.00
ES,01,araba/álava,1,paisaje naturaleza,actividades infantiles,4.41,11468,346.83,28121.00
ES,48,bizkaia,1,paisaje naturaleza,actividades infantiles,4.31,7925,1564.00,331360.50
ES,20,gipuzkoa,1,paisaje naturaleza,actividades infantiles,4.41,26976,837.00,99477.00
ES,33,asturias,1,paisaje naturaleza,actividades infantiles,4.35,44006,880.00,28403.25
ES,30,murcia,1,paisaje naturaleza,actividades infantiles,4.20,2633,1347.50,84288.00
ES,11,cádiz,1,servicios,cursos,4.26,39,487.50,1090.00
ES,29,málaga,1,servicios,cursos,4.43,51898,1159.50,18894.00
ES,41,sevilla,1,servicios,cursos,4.34,4859,554.00,23822.00
ES,50,zaragoza,1,servicios,cursos,4.21,61,2082.50,15294.50
ES,35,las palmas,1,servicios,cursos,4.28,2863,1000.00,2000.00
ES,38,santa cruz de tenerife,1,servicios,cursos,4.26,3753,1077.33,8361.33
ES,39,cantabria,1,servicios,cursos,4.27,4877,1300.00,7800.00
ES,45,toledo,1,servicios,cursos,4.18,29,310.00,620.00
ES,47,valladolid,1,servicios,cursos,4.06,292,1836.50,58715.50
ES,08,barcelona,1,servicios,cursos,4.05,159935,3649.00,241686.20
ES,17,girona,1,servicios,cursos,4.24,1146,150.00,150.00
ES,43,tarragona,1,servicios,cursos,4.20,9269,1000.00,1000.00
ES,28,madrid,1,servicios,cursos,4.10,42370,2729.88,389655.62
ES,03,alicante/alacant,1,servicios,cursos,4.28,29657,1328.67,6958.00
ES,46,valencia/valència,1,servicios,cursos,4.15,7124,3675.00,3675.00
