id_ccaa,id_provincia,mes,temporada_cod,categoria_cod,subcategoria_cod,valoracion_general_promedio,valoracion_por_categoria_promedio,log_opiniones,log_precio
1,4,1,1,3,0,4.19,4.32,10.059507911994038,4.483002552013883
1,11,1,1,3,0,4.26,4.27,9.421492310438014,7.674501373576274
1,14,1,1,3,0,4.29,4.32,8.234299635696253,6.952250518868688
1,18,1,1,3,0,4.37,4.52,9.825147561084876,6.401369783242168
1,21,1,1,3,0,4.11,4.12,9.035629778183564,6.214608098422191
1,23,1,1,3,0,4.33,4.44,8.381831553485561,5.707110264748875
1,29,1,1,3,0,4.43,4.44,11.605039633877407,6.42745886025097
1,41,1,1,3,0,4.34,4.47,9.974737874064294,6.99154480471182
2,50,1,1,3,0,4.21,4.36,8.68084148294457,6.775366090936392
5,35,1,1,3,0,4.28,4.34,12.207965852282786,6.589613999045648
5,38,1,1,3,0,4.26,4.31,12.15513718185042,5.945420608606575
6,39,1,1,3,0,4.27,4.36,10.543945728315652,5.956691926506723
8,2,1,1,3,0,4.15,4.38,8.061486866871327,6.80903930604298
8,45,1,1,3,0,4.18,4.16,7.447751280047908,6.722870439785018
7,5,1,1,3,0,4.23,4.56,7.536363938404511,6.63200177739563
7,24,1,1,3,0,4.21,4.52,8.413387022690648,5.081404364984463
7,37,1,1,3,0,4.17,4.39,8.107720061910534,6.981934677156389
7,42,1,1,3,0,3.97,4.14,7.934871565945177,4.927253685157205
7,47,1,1,3,0,4.06,4.18,9.070733417589766,6.413180229801903
7,49,1,1,3,0,4.17,4.38,7.6577552711348655,5.3471075307174685
9,8,1,1,3,0,4.05,4.13,12.20829517388327,7.236051324319173
9,17,1,1,3,0,4.24,4.38,11.029779856977546,6.647532719426507
9,43,1,1,3,0,4.2,4.26,10.425312461760488,7.383492440075633
13,28,1,1,3,0,4.1,4.19,11.71010279299617,6.916447392869642
15,31,1,1,3,0,4.23,4.33,8.854807632616227,8.053410173983558
10,3,1,1,3,0,4.28,4.36,11.319644067939931,7.272051110052231
10,46,1,1,3,0,4.15,4.23,11.416161228537758,6.904249139652849
11,6,1,1,3,0,4.29,4.4,7.018401799069201,5.03909316691274
11,10,1,1,3,0,4.33,4.5,8.668196064952765,6.709609171841211
12,15,1,1,3,0,4.21,4.39,9.85087760226383,6.176553105552927
12,27,1,1,3,0,4.28,4.57,8.998384010052538,7.3987862754199485
