mes,categoria_alojamiento,periodo_antelacion,valoraciones_norm,tiene_valoraciones,tipo_dia,precio
1,hotel 3 estrellas,1 mes,3.7595,True,semana,70.0
1,hotel 3 estrellas,1 semana,3.7595,True,semana,71.0
1,hotel 3 estrellas,2 semanas,3.7595,True,semana,71.0
1,hotel 3 estrellas,3 meses,3.7595,True,semana,67.33
1,hotel 4 estrellas,1 mes,3.24,True,semana,75.33
1,hotel 4 estrellas,1 semana,3.24,True,semana,75.0
1,hotel 4 estrellas,2 semanas,3.24,True,semana,75.0
1,hotel 4 estrellas,3 meses,3.24,True,semana,74.0
1,hotel 5 estrellas,1 mes,3.771500000000001,True,semana,79.67
1,hotel 5 estrellas,1 semana,3.771500000000001,True,semana,78.0
1,hotel 5 estrellas,2 semanas,3.771500000000001,True,semana,77.67
1,hotel 5 estrellas,3 meses,3.771500000000001,True,semana,79.33
2,hotel 3 estrellas,1 mes,3.671,True,semana,69.67
2,hotel 3 estrellas,1 semana,3.671,True,semana,71.33
2,hotel 3 estrellas,2 semanas,3.671,True,semana,71.0
2,hotel 3 estrellas,3 meses,3.671,True,semana,67.0
2,hotel 4 estrellas,1 mes,3.3240000000000003,True,semana,75.0
2,hotel 4 estrellas,1 semana,3.3240000000000003,True,semana,77.67
2,hotel 4 estrellas,2 semanas,3.3240000000000003,True,semana,76.0
2,hotel 4 estrellas,3 meses,3.3240000000000003,True,semana,75.67
2,hotel 5 estrellas,1 mes,4.053,True,semana,82.33
2,hotel 5 estrellas,1 semana,4.053,True,semana,85.33
2,hotel 5 estrellas,2 semanas,4.053,True,semana,84.33
2,hotel 5 estrellas,3 meses,4.053,True,semana,83.67
3,hotel 3 estrellas,1 mes,3.472,True,semana,76.0
3,hotel 3 estrellas,1 semana,3.472,True,semana,75.0
3,hotel 3 estrellas,2 semanas,3.472,True,semana,75.67
3,hotel 3 estrellas,3 meses,3.472,True,semana,72.33
3,hotel 4 estrellas,1 mes,3.2880000000000003,True,semana,78.67
3,hotel 4 estrellas,1 semana,3.2880000000000003,True,semana,80.0
3,hotel 4 estrellas,2 semanas,3.2880000000000003,True,semana,78.33
3,hotel 4 estrellas,3 meses,3.2880000000000003,True,semana,76.67
3,hotel 5 estrellas,1 mes,3.805,True,semana,92.33
3,hotel 5 estrellas,1 semana,3.805,True,semana,86.0
3,hotel 5 estrellas,2 semanas,3.805,True,semana,89.33
3,hotel 5 estrellas,3 meses,3.805,True,semana,81.0
4,hotel 3 estrellas,1 mes,3.58,True,semana,82.33
4,hotel 3 estrellas,1 semana,3.58,True,semana,80.67
