provincia,cnt_comida y bebida,cnt_compras,cnt_otros,cnt_paisaje naturaleza,cnt_paisaje urbano,cnt_servicios,cnt_vida nocturna,pct_comida y bebida,pct_compras,pct_otros,pct_paisaje naturaleza,pct_paisaje urbano,pct_servicios,pct_vida nocturna,total_actividades,categorias_unicas,valoracion_general_promedio,tasa_con_valoracion,log_gasto_total_promedio,log_precio_medio_entrada_promedio,log_total_opiniones_categoria_promedio
a coruna,6,0,3,21,13,11,26,0.075,0.0,0.0375,0.2625,0.1625,0.1375,0.325,80,6,4.21,1.0,11.27505077882451,6.8504000957843685,9.62061970641134
albacete,12,0,0,19,14,3,35,0.14457831325301204,0.0,0.0,0.2289156626506024,0.1686746987951807,0.03614457831325301,0.42168674698795183,83,5,4.15,1.0,11.83043259003868,6.838240024949813,7.372125601026129
alicante/alacant,11,6,8,25,16,11,34,0.0990990990990991,0.05405405405405406,0.07207207207207207,0.22522522522522523,0.14414414414414414,0.0990990990990991,0.3063063063063063,111,7,4.28,1.0,11.625462583853674,7.081057302827349,10.966850690405494
almeria,3,2,4,18,15,2,34,0.038461538461538464,0.02564102564102564,0.05128205128205128,0.23076923076923078,0.19230769230769232,0.02564102564102564,0.4358974358974359,78,7,4.19,1.0,11.8337667585103,6.866134354291036,9.26610736239493
araba/alava,8,1,2,21,18,10,20,0.1,0.0125,0.025,0.2625,0.225,0.125,0.25,80,7,4.398750000000001,0.975,11.099913987632581,6.731981836416714,8.534959432960182
asturias,5,4,7,22,16,6,21,0.06172839506172839,0.04938271604938271,0.08641975308641975,0.2716049382716049,0.19753086419753085,0.07407407407407407,0.25925925925925924,81,7,4.35,1.0,11.31387674598535,7.217933877787721,10.035126955859845
avila,0,0,3,11,5,0,11,0.0,0.0,0.1,0.36666666666666664,0.16666666666666666,0.0,0.36666666666666664,30,4,4.23,1.0,10.753054073280541,7.240139886906425,8.034468997761122
badajoz,6,0,0,24,12,1,24,0.08955223880597014,0.0,0.0,0.3582089552238806,0.1791044776119403,0.014925373134328358,0.3582089552238806,67,5,4.255522388059702,0.8955223880597015,11.230083901117265,6.463657475848917,8.398957441359855
barcelona,12,7,12,26,24,12,36,0.09302325581395349,0.05426356589147287,0.09302325581395349,0.20155038759689922,0.18604651162790697,0.09302325581395349,0.27906976744186046,129,7,4.05,1.0,12.345322955189909,7.229025111634141,11.269902481084808
bizkaia,4,7,9,24,24,12,21,0.039603960396039604,0.06930693069306931,0.0891089108910891,0.2376237623762376,0.2376237623762376,0.1188118811881188,0.2079207920792079,101,7,4.31,1.0,12.228304766797425,7.224321361024785,9.808961421720692
burgos,2,0,0,5,9,0,12,0.07142857142857142,0.0,0.0,0.17857142857142858,0.32142857142857145,0.0,0.42857142857142855,28,4,4.28,1.0,11.593607105845106,6.940990394352753,8.975490171598805
caceres,4,0,0,24,12,6,24,0.05714285714285714,0.0,0.0,0.34285714285714286,0.17142857142857143,0.08571428571428572,0.34285714285714286,70,5,4.33,1.0,11.274945862405902,6.731978259906517,8.780010100677362
cadiz,11,2,2,19,12,10,26,0.13414634146341464,0.024390243902439025,0.024390243902439025,0.23170731707317074,0.14634146341463414,0.12195121951219512,0.3170731707317073,82,7,4.26,1.0,11.697988973606964,7.144684636195959,8.506085386069799
cantabria,3,0,0,13,12,5,21,0.05555555555555555,0.0,0.0,0.24074074074074073,0.2222222222222222,0.09259259259259259,0.3888888888888889,54,5,4.27,1.0,11.56942686333141,6.748447093663744,9.796168329739846
castellon/castello,3,0,2,14,11,0,16,0.06521739130434782,0.0,0.043478260869565216,0.30434782608695654,0.2391304347826087,0.0,0.34782608695652173,46,5,4.184347826086957,0.9347826086956522,11.736508059021505,6.903680248180447,8.719047376002099
ceuta,0,0,0,0,12,0,11,0.0,0.0,0.0,0.0,0.5217391304347826,0.0,0.4782608695652174,23,2,3.9600000000000004,0.0,10.81071384799326,6.596720319295471,0.0
ciudad real,0,8,9,16,12,0,14,0.0,0.13559322033898305,0.15254237288135594,0.2711864406779661,0.2033898305084746,0.0,0.23728813559322035,59,5,4.29,1.0,11.060850061365143,7.19171313701279,7.797507118668992
cordoba,0,0,6,14,12,1,23,0.0,0.0,0.10714285714285714,0.25,0.21428571428571427,0.017857142857142856,0.4107142857142857,56,5,4.29,1.0,12.011007827180588,6.825855103234765,9.994822308335777
cuenca,1,0,1,9,12,4,16,0.023255813953488372,0.0,0.023255813953488372,0.20930232558139536,0.27906976744186046,0.09302325581395349,0.37209302325581395,43,6,4.19,1.0,11.193833601509484,6.815358432692913,8.494833436990382
gipuzkoa,1,0,1,22,12,11,29,0.013157894736842105,0.0,0.013157894736842105,0.2894736842105263,0.15789473684210525,0.14473684210526316,0.3815789473684211,76,6,4.41,1.0,11.639557735657753,6.818069083834714,9.561014849068178
girona,11,0,1,23,15,11,34,0.11578947368421053,0.0,0.010526315789473684,0.24210526315789474,0.15789473684210525,0.11578947368421053,0.35789473684210527,95,6,4.24,1.0,10.857044367871202,6.856114112459742,10.230535823509097
granada,10,0,3,19,20,6,28,0.11627906976744186,0.0,0.03488372093023256,0.22093023255813954,0.23255813953488372,0.06976744186046512,0.32558139534883723,86,6,4.37,1.0,11.78585879584354,6.881728454051775,10.312780596059882
guadalajara,2,0,0,14,6,0,15,0.05405405405405406,0.0,0.0,0.3783783783783784,0.16216216216216217,0.0,0.40540540540540543,37,4,4.04,1.0,11.61252643597764,6.794127348905883,7.423100404128287
huelva,0,0,0,12,11,0,11,0.0,0.0,0.0,0.35294117647058826,0.3235294117647059,0.0,0.3235294117647059,34,3,4.11,1.0,11.442560863175329,6.801231996069137,8.81276902598712
huesca,4,1,3,6,12,4,23,0.07547169811320754,0.018867924528301886,0.05660377358490566,0.11320754716981132,0.22641509433962265,0.07547169811320754,0.4339622641509434,53,7,4.25,1.0,11.70496378028884,6.808792076517224,8.529226164318937
illes balears,12,8,12,26,23,12,36,0.09302325581395349,0.06201550387596899,0.09302325581395349,0.20155038759689922,0.17829457364341086,0.09302325581395349,0.27906976744186046,129,7,4.33,1.0,11.895449674307528,7.217002787953618,11.141478157594516
jaen,3,1,1,16,13,8,17,0.05084745762711865,0.01694915254237288,0.01694915254237288,0.2711864406779661,0.22033898305084745,0.13559322033898305,0.288135593220339,59,7,4.33,1.0,11.2447440245122,7.106493322250233,8.533316742820649
la rioja,4,2,2,13,12,4,19,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.23214285714285715,0.21428571428571427,0.07142857142857142,0.3392857142857143,56,7,4.31,1.0,11.851890853857995,7.2779707596810175,8.908936006615463
las palmas,12,5,10,23,12,12,31,0.11428571428571428,0.047619047619047616,0.09523809523809523,0.21904761904761905,0.11428571428571428,0.11428571428571428,0.29523809523809524,105,7,4.28,1.0,11.667992619400192,6.704368835720839,10.940921425199088
leon,3,1,3,15,5,1,16,0.06818181818181818,0.022727272727272728,0.06818181818181818,0.3409090909090909,0.11363636363636363,0.022727272727272728,0.36363636363636365,44,7,4.21,1.0,11.310600234853514,6.903266126890819,8.365238583305825
lleida,1,2,6,12,12,1,20,0.018518518518518517,0.037037037037037035,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.018518518518518517,0.37037037037037035,54,7,4.27,1.0,11.423354291262404,6.788493024821306,8.35612854163155
lugo,0,0,0,13,13,3,21,0.0,0.0,0.0,0.26,0.26,0.06,0.42,50,4,4.28,1.0,11.241250016257853,7.082774572362136,8.445761634465924
madrid,12,11,12,25,18,12,36,0.09523809523809523,0.0873015873015873,0.09523809523809523,0.1984126984126984,0.14285714285714285,0.09523809523809523,0.2857142857142857,126,7,4.1,1.0,12.470716769154834,7.26975960759997,11.192526579375864
malaga,12,1,10,24,14,12,34,0.11214953271028037,0.009345794392523364,0.09345794392523364,0.22429906542056074,0.1308411214953271,0.11214953271028037,0.3177570093457944,107,7,4.43,1.0,12.162032605793938,7.148621304001957,10.969205355583416
murcia,8,0,4,22,12,12,28,0.09302325581395349,0.0,0.046511627906976744,0.2558139534883721,0.13953488372093023,0.13953488372093023,0.32558139534883723,86,6,4.2,1.0,11.858265716087393,6.991024011783474,7.81953351928186
navarra,5,0,3,24,10,4,15,0.08196721311475409,0.0,0.04918032786885246,0.39344262295081966,0.16393442622950818,0.06557377049180328,0.2459016393442623,61,6,4.23,1.0,12.426690811396902,7.3957678996337695,8.803507936058637
ourense,3,0,1,7,5,1,15,0.09375,0.0,0.03125,0.21875,0.15625,0.03125,0.46875,32,6,4.132187500000001,0.90625,11.154554887829141,6.8164876981025415,7.4556960353370565
palencia,0,0,3,5,5,0,12,0.0,0.0,0.12,0.2,0.2,0.0,0.48,25,4,4.35,1.0,11.572029360244445,7.079570840570078,7.139850642994167
