variable,importancia
valoraciones_norm,0.3961041365965625
categoria_alojamiento_hotel 5 estrellas,0.20115506737735533
categoria_alojamiento_casa entera,0.07893967664814053
categoria_alojamiento_habitacion compartida,0.071696065848744
tipo_zona_turistica_insular,0.0492259343960454
gran_ciudad,0.025869875308683888
tipo_zona_turistica_interior,0.019337306983717658
mes_11,0.017968063086674136
tipo_dia_cod,0.013991326143640119
mes_9,0.013875824165262243
categoria_alojamiento_habitacion privada,0.013856211508925577
antelacion_dias,0.012375678341596457
categoria_alojamiento_hotel 3 estrellas,0.012285374035515918
mes_7,0.012139341477333997
mes_8,0.01141390018193984
mes_6,0.007168686348965499
categoria_alojamiento_hotel 4 estrellas,0.006971394386677382
mes_5,0.00663826271829617
mes_10,0.005641562912808889
mes_12,0.005591177019898728
mes_4,0.0053496772010583945
mes_3,0.004536103050902469
mes_2,0.004047690436938183
categoria_alojamiento_apartamento,0.0038216638243166673
tiene_valoraciones,0.0
