tipo_zona_turistica,gran_ciudad,mes,categoria_alojamiento,periodo_antelacion,valoraciones_norm,tiene_valoraciones,tipo_dia,precio
interior,0,1,apartamento,1 mes,4.67,True,fin_semana,145.95
interior,0,11,hotel 5 estrellas,2 semanas,4.17,True,semana,137.67
interior,0,1,hotel 4 estrellas,1 mes,3.4665,True,semana,72.0
costa,0,4,hotel 5 estrellas,1 semana,3.659,True,fin_semana,265.67
interior,0,9,hotel 4 estrellas,1 semana,3.813,True,fin_semana,111.33
interior,0,4,hotel 5 estrellas,1 semana,4.415,True,fin_semana,202.67
costa,0,4,hotel 3 estrellas,3 meses,3.2255000000000003,True,semana,94.33
interior,0,5,hotel 5 estrellas,1 mes,3.818,True,fin_semana,170.67
insular,0,6,apartamento,2-3 meses,4.65,True,semana,331.69
costa,0,2,hotel 4 estrellas,2 semanas,3.287,True,fin_semana,131.33
insular,0,1,hotel 3 estrellas,2 semanas,3.457,True,fin_semana,106.67
interior,0,11,alternativo,1 mes,4.38,True,semana,207.19
costa,0,8,apartamento,2-3 meses,4.64,True,semana,339.25
interior,1,4,hotel 4 estrellas,3 meses,3.756,True,semana,169.67
costa,0,8,hotel 3 estrellas,1 mes,3.0155000000000003,True,fin_semana,88.67
interior,0,11,hotel 3 estrellas,2 semanas,3.6585,True,semana,85.67
interior,0,10,hotel 3 estrellas,1 mes,3.3405,True,semana,69.67
costa,0,2,hotel 4 estrellas,3 meses,3.582,True,fin_semana,95.0
costa,0,5,apartamento,1 mes,4.67,True,fin_semana,160.23
insular,0,5,apartamento,1 mes,4.71,True,fin_semana,134.54
costa,0,5,hotel 3 estrellas,3 meses,3.846,True,semana,91.0
interior,0,9,hotel 4 estrellas,2 semanas,3.5815,True,semana,79.0
interior,0,10,apartamento,1 mes,4.65,True,semana,120.84
interior,0,2,hotel 4 estrellas,3 meses,3.798,True,semana,90.0
interior,0,10,casa entera,1 mes,4.68,True,semana,260.46
interior,0,2,hotel 5 estrellas,1 semana,4.318,True,fin_semana,205.08
interior,0,10,hotel 5 estrellas,1 semana,3.734,True,semana,157.08
costa,0,8,casa entera,2-3 meses,4.74,True,semana,184.17
interior,0,12,hotel 4 estrellas,1 mes,3.2435,True,semana,83.0
costa,0,6,casa entera,2-3 meses,4.67,True,fin_semana,289.26
interior,0,12,habitacion compartida,2-3 meses,3.63,True,semana,78.5
costa,0,3,hotel 5 estrellas,1 semana,3.8585,True,semana,256.33
costa,0,2,hotel 3 estrellas,2 semanas,3.7545,True,semana,97.33
insular,0,7,hotel 4 estrellas,3 meses,3.373,True,fin_semana,168.33
costa,0,8,hotel 4 estrellas,3 meses,2.161,True,fin_semana,171.33
interior,0,8,apartamento,2-3 meses,4.64,True,fin_semana,150.28
insular,0,10,hotel 5 estrellas,1 semana,4.045,True,semana,309.0
costa,0,4,hotel 3 estrellas,1 semana,3.7535,True,semana,74.0
costa,0,1,casa entera,1 mes,4.73,True,fin_semana,175.88
costa,0,6,hotel 3 estrellas,1 mes,3.3935000000000004,True,fin_semana,152.0
interior,0,11,habitacion privada,1 mes,4.32,True,semana,84.47
interior,0,10,hotel 3 estrellas,1 semana,3.3405,True,semana,69.0
costa,0,6,hotel 5 estrellas,2 semanas,4.146,True,fin_semana,302.0
costa,0,11,hotel 3 estrellas,1 semana,3.208,True,semana,69.33
interior,0,2,hotel 4 estrellas,1 semana,4.2145,True,semana,70.0
interior,0,9,habitacion privada,1 mes,4.41,True,fin_semana,153.88
costa,0,11,apartamento,1 mes,4.66,True,fin_semana,140.3
interior,0,11,habitacion compartida,1 mes,3.87,True,semana,56.39
costa,0,8,hotel 4 estrellas,1 semana,3.2365000000000004,True,semana,200.0
costa,0,9,hotel 5 estrellas,2 semanas,4.064,True,semana,314.67
costa,0,12,hotel 3 estrellas,1 semana,3.4240000000000004,True,fin_semana,80.33
interior,1,8,hotel 4 estrellas,1 semana,3.979,True,semana,117.33
interior,0,5,hotel 4 estrellas,3 meses,3.2635,True,fin_semana,98.67
costa,0,6,hotel 5 estrellas,3 meses,3.3775,True,semana,171.67
interior,0,10,hotel 5 estrellas,2 semanas,4.4905,True,semana,128.67
costa,0,11,hotel 4 estrellas,3 meses,3.9645,True,semana,81.67
costa,0,9,hotel 5 estrellas,3 meses,4.527,True,semana,152.33
interior,0,2,alternativo,1 mes,4.59,True,fin_semana,178.66
costa,0,8,hotel 3 estrellas,1 mes,3.0315000000000003,True,fin_semana,217.0
costa,0,5,apartamento,1 mes,4.69,True,fin_semana,483.66
costa,0,6,hotel 5 estrellas,3 meses,4.501,True,fin_semana,239.33
costa,1,7,hotel 4 estrellas,1 mes,3.5175,True,fin_semana,228.33
interior,0,9,habitacion compartida,1 mes,3.3,True,fin_semana,152.0
interior,0,8,hotel 5 estrellas,2 semanas,4.1525,True,semana,205.67
interior,0,7,hotel 3 estrellas,1 mes,4.034000000000001,True,fin_semana,131.0
costa,0,2,hotel 4 estrellas,1 mes,4.412,True,fin_semana,133.0
interior,0,6,hotel 3 estrellas,3 meses,3.9835,True,semana,91.67
interior,0,9,apartamento,1 mes,4.72,True,fin_semana,161.68
costa,0,8,hotel 5 estrellas,3 meses,3.7385,True,semana,188.67
interior,0,5,hotel 5 estrellas,1 mes,3.818,True,semana,123.33
interior,0,8,hotel 5 estrellas,1 semana,4.179,True,semana,108.67
costa,0,2,hotel 3 estrellas,3 meses,3.493,True,fin_semana,103.67
costa,0,11,hotel 4 estrellas,1 mes,3.831,True,fin_semana,93.33
interior,0,7,hotel 5 estrellas,2 semanas,4.42,True,semana,237.0
interior,0,9,hotel 3 estrellas,1 mes,4.075,True,semana,98.67
interior,0,9,hotel 5 estrellas,2 semanas,3.667,True,fin_semana,203.67
costa,0,3,hotel 4 estrellas,3 meses,3.544,True,semana,122.33
costa,1,11,hotel 4 estrellas,1 mes,3.659,True,fin_semana,167.67
interior,0,8,hotel 5 estrellas,1 semana,4.1985,True,semana,106.0
interior,0,7,habitacion compartida,2-3 meses,4.1,True,semana,22.63
interior,0,10,hotel 4 estrellas,3 meses,3.502,True,semana,118.67
interior,0,2,hotel 4 estrellas,2 semanas,3.957500000000001,True,semana,73.67
interior,0,2,hotel 5 estrellas,2 semanas,3.4255000000000004,True,semana,197.67
interior,0,4,hotel 5 estrellas,1 mes,0.5,True,semana,275.67
costa,0,9,habitacion privada,1 mes,3.78,True,fin_semana,65.86
interior,0,11,hotel 3 estrellas,1 mes,3.87,True,fin_semana,80.33
interior,0,7,hotel 3 estrellas,1 mes,4.23,True,semana,78.67
interior,0,10,habitacion compartida,1 mes,3.18,True,fin_semana,128.95
interior,0,5,hotel 4 estrellas,1 mes,3.7645,True,fin_semana,101.33
interior,1,4,hotel 3 estrellas,1 mes,3.2700000000000005,True,semana,128.67
costa,0,3,hotel 4 estrellas,1 semana,4.421,True,semana,126.0
interior,0,10,hotel 4 estrellas,2 semanas,3.516,True,fin_semana,142.0
costa,0,2,alternativo,1 mes,4.45,True,fin_semana,187.2
costa,0,6,hotel 5 estrellas,1 mes,3.6235,True,fin_semana,208.0
costa,0,8,hotel 4 estrellas,3 meses,3.007,True,fin_semana,153.67
interior,0,11,hotel 5 estrellas,2 semanas,4.369,True,fin_semana,304.0
costa,0,3,hotel 4 estrellas,3 meses,3.83,True,semana,80.33
costa,0,2,hotel 4 estrellas,2 semanas,3.287,True,semana,106.67
costa,0,9,hotel 5 estrellas,1 semana,2.7145,True,fin_semana,341.33
interior,0,8,hotel 4 estrellas,3 meses,3.7865,True,fin_semana,108.0
interior,0,5,apartamento,1 mes,4.54,True,fin_semana,171.88
insular,0,4,hotel 3 estrellas,3 meses,3.5685,True,semana,118.0
costa,0,7,hotel 3 estrellas,1 semana,3.963,True,semana,81.33
insular,0,6,apartamento,2-3 meses,4.71,True,semana,136.7
costa,0,9,hotel 3 estrellas,3 meses,3.68,True,semana,86.0
costa,0,7,hotel 5 estrellas,1 mes,4.468500000000001,True,fin_semana,343.0
interior,0,6,hotel 3 estrellas,3 meses,3.878,True,fin_semana,104.67
interior,0,2,casa entera,1 mes,4.53,True,semana,172.93
interior,0,3,apartamento,1 mes,4.69,True,fin_semana,111.98
costa,0,10,hotel 3 estrellas,1 mes,3.883,True,fin_semana,103.67
interior,0,6,hotel 4 estrellas,2 semanas,3.512,True,fin_semana,146.33
interior,0,9,hotel 3 estrellas,2 semanas,4.131,True,fin_semana,94.67
costa,0,3,hotel 3 estrellas,3 meses,3.019,True,fin_semana,87.67
interior,0,8,hotel 5 estrellas,1 mes,4.662,True,semana,347.67
insular,0,3,habitacion compartida,1 mes,4.61,True,fin_semana,47.96
interior,0,8,hotel 5 estrellas,1 mes,4.451,True,fin_semana,166.33
costa,0,12,hotel 4 estrellas,2 semanas,3.825,True,semana,124.0
