provincia,a coruna,albacete,alicante/alacant,almeria,araba/alava,asturias,avila,badajoz,barcelona,bizkaia,burgos,caceres,cadiz,cantabria,castellon/castello,ceuta,ciudad real,cordoba,cuenca,gipuzkoa,girona,granada,guadalajara,huelva,huesca,illes balears,jaen,la rioja,las palmas,leon,lleida,lugo,madrid,malaga,murcia,navarra,ourense,palencia,pontevedra,salamanca,santa cruz de tenerife,segovia,sevilla,soria,tarragona,teruel,toledo,valencia/valencia,valladolid,zamora,zaragoza
a coruna,1.0000000000000002,0.12375874628159445,0.2479126398204021,-0.3090333760092166,0.5956517124959244,-0.03879564322274343,-0.20075956286878074,0.20044979753606382,0.02421258347001264,-0.0955312596009976,-0.42227808400261235,0.5452503601450401,0.46803908921035076,0.2850165609311608,-0.4119956103860479,-0.29552519406034433,-0.5386256230058949,-0.4089995550128252,0.06525080732013602,0.6041270017854957,0.805532847579722,0.25164189571954065,-0.125700313292943,-0.23907687307096345,-0.21863546034977002,0.038614820838685275,0.423623039177523,-0.3555259290841133,0.3689828034617323,-0.09685625437774087,-0.511088977529319,-0.08698406783820489,-0.0785578069904477,0.3035141560798273,0.7238065306612749,-0.036895110816201,-0.09767399966131918,-0.47813558761041774,0.5748829707614243,-0.23139085006807772,0.7890489159633368,-0.4501565666647749,0.19493543068858757,0.030821440376853557,0.14457706354361674,-0.492614353110868,-0.00013626692660077456,-0.06865565347300415,0.14093418689307435,-0.4085684698149354,0.09158733512765566
albacete,0.12375874628159445,0.9999999999999998,-0.02039491354721383,0.2142968727424859,0.006277930353139867,-0.5786770248903493,-0.29634768737082107,0.4805861841235885,-0.006673214657539711,-0.5211741336924205,0.10982279023827297,0.2420525953029338,0.39606412818343756,0.18472834501239918,0.14439986832322538,0.07313140289824271,-0.5895967118503885,-0.2884946292680191,-0.2104038844096182,-0.1116500197732507,0.4654547167241038,0.4342085505164227,0.303673670988655,-0.047718656885652834,0.0695972662481857,-0.1266287229623805,-0.36064956322060493,-0.213818295194518,-0.0008307445270862353,-0.06370749153165191,-0.4877537440862895,-0.07118674418775127,-0.06942237295100642,0.05013683445344288,0.3494019571350991,0.0008587701571529248,0.2558681652134798,-0.22970556320869642,-0.23003535615225518,0.0192641923078328,0.461287969492383,-0.06607908357512357,0.08959774132712296,0.32224741019348013,-0.24330367696412714,-0.05368518038042394,-0.18810925136373954,-0.05825998283766822,-0.03814747316465674,0.02041320491195584,0.008818147512377241
alicante/alacant,0.2479126398204021,-0.02039491354721383,0.9999999999999999,0.024340771198577953,0.2198541552666339,0.602795385181555,-0.5634179785460393,-0.34086583828284805,0.8155326743451721,0.6286625117229688,-0.7843009735896089,-0.2335198108210258,0.5505939418568028,-0.6079843815881241,-0.7986342224404976,-0.6245830076850409,0.09381536798758797,-0.45415637114881796,-0.7893887849046836,0.012617542135357181,0.40127889414153717,0.31663808800619636,-0.7215426175881767,-0.8128555900345699,-0.33668486549125237,0.9397824524280967,-0.12154100241856504,-0.0654466227133915,0.862970256391963,-0.34983929245378664,-0.334040077293767,-0.7173129412024704,0.8565793261530578,0.7659914358314546,0.35612541447617974,-0.04428539633758327,-0.6709649839704167,-0.6638065062315219,0.11164788695030405,-0.18809130505567717,0.506731433627953,-0.3905809899963858,0.8439896985903674,-0.7068421128439907,0.8410489176058087,-0.6337090135045367,-0.45577516616316893,0.8183229089250335,0.20951776835499367,-0.529480441416073,0.8464784099095396
almeria,-0.3090333760092166,0.2142968727424859,0.024340771198577953,1.0000000000000002,-0.4496226975320422,-0.19729107241051033,-0.16269595872242906,0.09738910493736264,0.13100536596887863,-0.13530255307871805,-0.09185863248992987,-0.1297857357398606,-0.3121671784967997,-0.08605415977804423,0.037749649472493776,-0.09190609628968517,-0.06514019942133355,0.4017326906576545,-0.11134385249126558,0.019754382509227276,-0.1384164560475689,-0.0521713704541023,0.0577190807734243,-0.09745918046995736,0.2453553888504772,0.035638384827141725,-0.474267251355319,-0.09485411857429495,-0.04135279427095228,0.09472063940379356,0.3646238495622105,-0.034125382761796094,0.11450343910732498,-0.038022594952173666,-0.25301976235255835,-0.21553236237316206,0.03145608213184776,0.011098153580432717,-0.3122521525126303,0.5117916297318446,-0.22947369453009053,0.3052381962406418,0.05349673059700751,-0.07449386934393769,-0.07951603749875592,0.20151293105513546,-0.15591037738496882,-0.0011654334765865322,0.5296927339568985,-0.18465789120895149,0.061998301469071794
araba/alava,0.5956517124959244,0.006277930353139867,0.2198541552666339,-0.4496226975320422,1.0,0.2645465682718361,-0.30551249157611815,0.2990760659357072,-0.12259437151369368,0.12214091443633382,-0.23277651896203858,0.5083780477553801,0.4473545927101866,0.1956298448110571,-0.3329593802178369,-0.16064436106422986,-0.26480046283907,-0.5121718177179965,0.07675680707459567,0.4179115463447377,0.5963009650323865,0.5398203245812117,-0.35332633037707717,-0.244415603708299,-0.1016228179252226,0.13278920619360496,0.6038256686576599,-0.06769785682704403,0.3110788297957027,-0.13090345829606795,-0.25304158036486785,-0.14814429429913745,-0.1806657708398732,0.2444974859937802,0.3300461491090055,-0.11568925988235468,-0.2006991283435371,-0.4602573562871594,0.2809151524494606,0.030115853823536355,0.5561903291441609,-0.6303256131945607,0.3831658996760376,-0.25056758266883356,0.22910475236211172,-0.5624387303364022,0.012612612517676943,-0.0046778653322650165,-0.10406754224474575,-0.09181605362243347,0.10357219966341621
asturias,-0.03879564322274343,-0.5786770248903493,0.602795385181555,-0.19729107241051033,0.2645465682718361,0.9999999999999998,0.05236985176011393,-0.382934093497998,0.3889573222973989,0.6914541473103849,-0.4888285648971339,-0.18406447452687072,0.18589003722874112,-0.605571777219848,-0.41418058319139467,-0.5123836091850265,0.5845434615819028,-0.17257647581906077,-0.4296705127066157,-0.03834670098331206,-0.027222980102414657,0.04832524405937756,-0.5879267873560582,-0.42832132474381096,-0.4144822527217914,0.6445165545345097,0.3104200138126726,0.3346144097788246,0.3901814769980106,0.025705692091407144,0.14025064370374424,-0.32406286645980686,0.4481189329345485,0.44500973132425214,-0.0948668600921396,0.2136945698536782,-0.5508304069409805,-0.2067405683631812,-0.03975625960098629,-0.09091777582591937,-0.038506087988013006,-0.37345378463951623,0.3754121184163742,-0.6683320043543314,0.6830081976955077,-0.4308212190588788,-0.18307878451223336,0.473187711254344,-0.060714525168711835,-0.1911165493570144,0.4247300650804577
avila,-0.20075956286878074,-0.29634768737082107,-0.5634179785460393,-0.16269595872242906,-0.30551249157611815,0.05236985176011393,0.9999999999999999,0.1695989560176434,-0.6120350873304804,-0.42294191187205993,0.42142164109114466,0.1920661607536532,-0.46483412024680026,0.12632103353530072,0.6079750911364723,0.2061526832659102,0.429078232843071,0.43905085253874654,0.39127525570370125,-0.08424718537651661,-0.31359885199927484,-0.5381784338855642,0.5828901308169402,0.5999473860875996,-0.13869162356813855,-0.5679776937072747,0.15790110376404443,0.12272530313203063,-0.5615517360487577,0.6603773649988478,0.43643511584904354,0.594095473536982,-0.554722780188237,-0.4780871142214834,-0.3804929840531628,0.22972089263095852,0.4983320304108432,0.7494996509825463,-0.1252906270247395,-0.1919825331712772,-0.508710727849359,0.3245101634114135,-0.8194571533991505,0.4092918701968034,-0.458726189356511,0.4663576370359898,0.11418211345361261,-0.6549805099566735,-0.41837956882383653,0.1265429752075272,-0.6700398211697568
badajoz,0.20044979753606382,0.4805861841235885,-0.34086583828284805,0.09738910493736264,0.2990760659357072,-0.382934093497998,0.1695989560176434,0.9999999999999998,-0.5196117079322314,-0.6197870383949728,0.2249075517834866,0.7782704239519579,-0.14537752915400842,0.4830216348231351,0.506556192298152,0.18085896425518072,-0.2673552184291037,0.041416251540919755,0.15971625151632823,0.19917866166795883,0.3320159335146461,0.19226098341256773,0.5978019209208965,0.44692104703717966,-0.19710846966597162,-0.47908901182685154,-0.0702631608213645,-0.42471483474722393,-0.15127680872172314,0.3896692569495555,-0.039368206796387854,0.23097707073912244,-0.5434306010780889,-0.32810924574181477,-0.06054100354021848,-0.033976741488692584,0.3832467642585555,-0.03752540613525209,-0.20432674971232423,0.3842767993041575,0.2171851866530697,-0.1329577287846374,-0.29183693706547187,0.4402423178785456,-0.4709108717424585,-0.13401565519304634,-0.04392144837930346,-0.542636959829262,-0.19395098906269528,-0.03194330821551433,-0.4282014729220858
barcelona,0.02421258347001264,-0.006673214657539711,0.8155326743451721,0.13100536596887863,-0.12259437151369368,0.3889573222973989,-0.6120350873304804,-0.5196117079322314,1.0000000000000004,0.7126081243902735,-0.7200135614940262,-0.5397090132397426,0.332430835253637,-0.714028158422229,-0.6207104467158657,-0.4465042676677127,0.05129420915309693,-0.3117114783443399,-0.7476350127654374,-0.2697800866802251,0.09275294657143864,0.18371566916710377,-0.6006674856808074,-0.6304611965471261,-0.3303983568581189,0.8801717123212849,-0.3740517398733927,-0.12569483319971156,0.6449496450642821,-0.5189073070344806,-0.3375923572428054,-0.7222665151647801,0.9439901881667837,0.6026637877238178,0.30158003873095,0.06694948896255469,-0.7176997998959337,-0.6491868340944663,0.11099709269762627,0.027706384760507283,0.2614630978838885,-0.3314821870050842,0.7588120261018135,-0.5368237733475916,0.8391490222449393,-0.5422339093453935,-0.21065635438158864,0.9532417654106938,0.5004981126517188,-0.30287052928780606,0.9147808323264642
bizkaia,-0.0955312596009976,-0.5211741336924205,0.6286625117229688,-0.13530255307871805,0.12214091443633382,0.6914541473103849,-0.42294191187205993,-0.6197870383949728,0.7126081243902735,0.9999999999999999,-0.5936683792633071,-0.400985004719878,0.1662970258569617,-0.5996444971096699,-0.5847201457648515,-0.4103499900320631,0.3724373636326588,-0.1874571590909142,-0.5131065775285134,-0.0038438156577316925,-0.22618274552956583,0.0653229929487354,-0.6964131191596455,-0.47460871531025395,-0.3565524959206944,0.7814135937973149,0.10122310202481036,0.20174392369961944,0.4313421635421516,-0.4736029705090676,-0.09663037832683521,-0.46894552041098364,0.728961041889491,0.4728164171496615,0.10579188064809557,0.18712685448984837,-0.8483829907224416,-0.4249312462153253,0.05472148614858332,0.10142336216194871,-0.04208968667745733,-0.39221756526900453,0.6356736200981192,-0.7049117091966438,0.7614604101015623,-0.48865648361455855,0.027711312637256822,0.806840763231817,0.31061499996922065,-0.14761621157587018,0.7202093392232009
