id_provincia,mes,categoria,precio_mediano_n1
1,1,paisaje naturaleza,529.665
1,1,paisaje urbano,526.17
1,1,vida nocturna,596.33
1,2,paisaje naturaleza,315.4
1,2,paisaje urbano,60.0
1,2,vida nocturna,308.625
1,3,paisaje naturaleza,785.0
1,3,paisaje urbano,1572.57
1,3,vida nocturna,331.2
1,4,comida y bebida,30.0
1,4,paisaje naturaleza,692.5
1,4,paisaje urbano,315.2
1,4,servicios,30.0
1,4,vida nocturna,878.67
1,5,paisaje naturaleza,271.265
1,5,paisaje urbano,483.0
1,5,servicios,65.0
1,5,vida nocturna,831.0
1,6,paisaje naturaleza,492.635
1,6,servicios,344.0
1,6,vida nocturna,930.8
1,7,comida y bebida,625.5
1,7,compras,5882.0
1,7,paisaje naturaleza,521.8
1,7,paisaje urbano,423.16499999999996
1,7,servicios,7353.0
1,7,vida nocturna,1239.33
1,8,paisaje urbano,703.18
1,8,servicios,7353.0
1,8,vida nocturna,50.0
1,9,comida y bebida,415.0
1,9,paisaje naturaleza,2501.65
1,9,paisaje urbano,1465.855
1,9,servicios,3853.5
1,9,vida nocturna,750.6
1,10,comida y bebida,345.0
1,10,paisaje naturaleza,2008.93
1,10,paisaje urbano,497.78
1,10,servicios,345.0
1,10,vida nocturna,1005.875
1,11,comida y bebida,226.67
1,11,paisaje naturaleza,328.29
1,11,vida nocturna,406.0
1,12,otros,4333.0
1,12,paisaje naturaleza,1073.07
1,12,paisaje urbano,479.29
1,12,servicios,100.0
2,1,comida y bebida,939.0
2,1,paisaje naturaleza,905.0
2,1,paisaje urbano,691.915
2,1,vida nocturna,1533.5
2,2,comida y bebida,1087.0
2,2,vida nocturna,806.785
2,3,comida y bebida,483.0
2,3,paisaje urbano,1151.75
2,3,vida nocturna,1303.85
2,4,comida y bebida,814.67
2,4,paisaje urbano,1016.875
2,4,vida nocturna,649.0
2,5,comida y bebida,517.5
2,5,paisaje naturaleza,534.0
2,5,paisaje urbano,1109.71
2,5,vida nocturna,820.335
2,6,paisaje naturaleza,2358.165
2,6,vida nocturna,878.75
2,7,comida y bebida,140.0
2,7,paisaje naturaleza,1979.75
2,7,paisaje urbano,827.86
2,7,servicios,35.0
2,7,vida nocturna,1041.0
2,8,comida y bebida,138.0
2,8,paisaje naturaleza,1003.75
2,8,vida nocturna,545.5
2,9,comida y bebida,735.5
