id_municipio,lat,lon,osm_id,osm_type,osm_query_usada,osm_pass
16010513,42.8492823,-2.3890592,340918,relation,"Agurain/Salvatierra, araba/álava, País Vasco, España",pass_1
16010014,42.8415190,-2.5120525,348226,relation,"Alegría-Dulantzi, araba/álava, País Vasco, España",pass_1
16010029,43.0510034,-2.9997847,400902178,node,"Amurrio, araba/álava, País Vasco, España",pass_1
16010493,42.8021497,-2.9864169,339906,relation,"Añana, araba/álava, País Vasco, España",pass_1
16010035,43.0352061,-2.5857615,348225,relation,"Aramaio, araba/álava, País Vasco, España",pass_1
16010066,42.7225870,-2.8722115,348222,relation,"Armiñón, araba/álava, País Vasco, España",pass_1
16010376,42.7402633,-2.4475475,344034,relation,"Arraia-Maeztu, araba/álava, País Vasco, España",pass_1
16010088,42.9182352,-2.5906525,348220,relation,"Arratzua-Ubarrundia, araba/álava, País Vasco, España",pass_1
16010040,43.1210566,-3.1286742,348223,relation,"Artziniega, araba/álava, País Vasco, España",pass_1
16010091,42.8862514,-2.2855075,348221,relation,"Asparrena, araba/álava, País Vasco, España",pass_1
16010105,43.0761006,-3.0790858,343702,relation,"Ayala/Aiara, araba/álava, País Vasco, España",pass_1
16010112,42.5295829,-2.6789897,343701,relation,"Baños de Ebro/Mañueta, araba/álava, País Vasco, España",pass_1
16010133,42.9148432,-2.5027644,343703,relation,"Barrundia, araba/álava, País Vasco, España",pass_1
16010148,42.6828520,-2.8589445,343698,relation,"Berantevilla, araba/álava, País Vasco, España",pass_1
16010164,42.6267187,-2.4980928,343700,relation,"Bernedo, araba/álava, País Vasco, España",pass_1
16010170,42.6691469,-2.3520513,343699,relation,"Campezo/Kanpezu, araba/álava, País Vasco, España",pass_1
16010210,42.8495927,-2.5448025,339582,relation,"Elburgo/Burgelu, araba/álava, País Vasco, España",pass_1
16010225,42.5153808,-2.6181739,339583,relation,"Elciego, araba/álava, País Vasco, España",pass_1
16010231,42.5704082,-2.5451889,339995,relation,"Elvillar/Bilar, araba/álava, País Vasco, España",pass_1
16010468,42.7979968,-2.9040573,339903,relation,"Erriberagoitia/Ribera Alta, araba/álava, País Vasco, España",pass_1
16010565,42.7567197,-2.3207100,347807,relation,"Harana/Valle de Arana, araba/álava, País Vasco, España",pass_1
16019015,42.8246442,-2.8206006,342086,relation,"Iruña Oka/Iruña de Oca, araba/álava, País Vasco, España",pass_1
16010278,42.8311960,-2.4296490,343551,relation,"Iruraiz-Gauna, araba/álava, País Vasco, España",pass_1
16010199,42.5919931,-2.5153878,343696,relation,"Kripan, araba/álava, País Vasco, España",pass_1
16010203,42.8863727,-2.9401423,339581,relation,"Kuartango, araba/álava, País Vasco, España",pass_1
16010284,42.5903817,-2.7928698,343621,relation,"Labastida/Bastida, araba/álava, País Vasco, España",pass_1
16010301,42.6255515,-2.5836433,344033,relation,"Lagrán, araba/álava, País Vasco, España",pass_1
16010318,42.5535011,-2.5850848,344032,relation,"Laguardia, araba/álava, País Vasco, España",pass_1
16010323,42.5625294,-2.5125875,344031,relation,"Lanciego/Lantziego, araba/álava, País Vasco, España",pass_1
16019020,42.7478260,-2.9942274,342085,relation,"Lantarón, araba/álava, País Vasco, España",pass_1
16010339,42.4934805,-2.5755974,344030,relation,"Lapuebla de Labarca, araba/álava, País Vasco, España",pass_1
16010360,43.1417601,-2.9622358,400897517,node,"Laudio/Llodio, araba/álava, País Vasco, España",pass_1
16010587,42.9780816,-2.6430832,344338,relation,"Legutio, araba/álava, País Vasco, España",pass_1
16010344,42.5655553,-2.6342866,344036,relation,"Leza, araba/álava, País Vasco, España",pass_1
16010395,42.5246992,-2.4085108,344029,relation,"Moreda de Álava/Moreda Araba, araba/álava, País Vasco, España",pass_1
16010416,42.5451728,-2.6247534,339902,relation,"Navaridas, araba/álava, País Vasco, España",pass_1
16010421,43.1563569,-3.0267954,339900,relation,"Okondo, araba/álava, País Vasco, España",pass_1
16010437,42.5065530,-2.4357886,339901,relation,"Oyón-Oion, araba/álava, País Vasco, España",pass_1
16010442,42.6441334,-2.7136577,339905,relation,"Peñacerrada-Urizaharra, araba/álava, País Vasco, España",pass_1
16010474,42.7255641,-2.9076507,339904,relation,"Ribera Baja/Erriberabeitia, araba/álava, País Vasco, España",pass_1
16010528,42.5682299,-2.6790583,344332,relation,"Samaniego, araba/álava, País Vasco, España",pass_1
16010534,42.8798718,-2.3909783,344331,relation,"San Millán/Donemiliaga, araba/álava, País Vasco, España",pass_1
16010549,42.9709057,-2.9186291,344334,relation,"Urkabustaiz, araba/álava, País Vasco, España",pass_1
16010552,42.8555874,-3.0610155,344333,relation,"Valdegovía/Gaubea, araba/álava, País Vasco, España",pass_1
16010571,42.5470187,-2.6654370,344335,relation,"Villabuena de Álava/Eskuernaga, araba/álava, País Vasco, España",pass_1
16010590,42.8465088,-2.6724025,344337,relation,"Vitoria-Gasteiz, araba/álava, País Vasco, España",pass_1
16010604,42.5678349,-2.4704011,340212,relation,"Yécora/Iekora, araba/álava, País Vasco, España",pass_1
16010611,42.8856900,-2.3473180,340213,relation,"Zalduondo, araba/álava, País Vasco, España",pass_1
16010626,42.6611191,-2.8793698,340214,relation,"Zambrana, araba/álava, País Vasco, España",pass_1
16010186,42.9568048,-2.7350578,343697,relation,"Zigoitia, araba/álava, País Vasco, España",pass_1
16010632,42.9817199,-2.8319393,340215,relation,"Zuia, araba/álava, País Vasco, España",pass_1
08020019,39.2089284,-1.5420192,346319,relation,"Abengibre, albacete, Castilla - La Mancha, España",pass_1
08020024,39.0955185,-1.3610539,346318,relation,"Alatoz, albacete, Castilla - La Mancha, España",pass_1
08020030,38.9950921,-1.8559154,346317,relation,"Albacete, albacete, Castilla - La Mancha, España",pass_1
08020045,38.5709891,-1.5226396,346323,relation,"Albatana, albacete, Castilla - La Mancha, España",pass_1
08020058,39.2790903,-1.3960986,346322,relation,"Alborea, albacete, Castilla - La Mancha, España",pass_1
08020061,38.6488936,-1.9803910,345123,relation,"Alcadozo, albacete, Castilla - La Mancha, España",pass_1
08020077,39.1928901,-1.4289945,346320,relation,"Alcalá del Júcar, albacete, Castilla - La Mancha, España",pass_1
08020083,38.6647483,-2.4910801,346326,relation,"Alcaraz, albacete, Castilla - La Mancha, España",pass_1
08020096,38.8682065,-1.0978627,346325,relation,"Almansa, albacete, Castilla - La Mancha, España",pass_1
08020100,38.9596638,-1.2308857,342129,relation,"Alpera, albacete, Castilla - La Mancha, España",pass_1
08020117,38.5532769,-2.0715082,342130,relation,"Ayna, albacete, Castilla - La Mancha, España",pass_1
08020122,38.8850397,-2.1525166,342131,relation,"Balazote, albacete, Castilla - La Mancha, España",pass_1
08020143,38.9471033,-2.5367113,568529930,way,"Ballestero, El, albacete, Castilla - La Mancha, España",pass_1
08020138,39.2641614,-1.1954173,342132,relation,"Balsa de Ves, albacete, Castilla - La Mancha, España",pass_1
08020156,39.0460357,-2.2004126,342126,relation,"Barrax, albacete, Castilla - La Mancha, España",pass_1
08020169,38.5155914,-2.6113209,342127,relation,"Bienservida, albacete, Castilla - La Mancha, España",pass_1
08020175,38.5815065,-2.2129227,342128,relation,"Bogarra, albacete, Castilla - La Mancha, España",pass_1
08020181,38.8703082,-1.3486771,346022,relation,"Bonete, albacete, Castilla - La Mancha, España",pass_1
08020194,38.9776541,-2.5483971,165330910,way,"Bonillo, El, albacete, Castilla - La Mancha, España",pass_1
08020208,39.1020272,-1.3086548,346060,relation,"Carcelén, albacete, Castilla - La Mancha, España",pass_1
08020215,39.1019705,-1.5577523,346059,relation,"Casas de Juan Núñez, albacete, Castilla - La Mancha, España",pass_1
08020220,38.7706580,-2.2400615,346062,relation,"Casas de Lázaro, albacete, Castilla - La Mancha, España",pass_1
08020236,39.2588234,-1.3328623,346061,relation,"Casas de Ves, albacete, Castilla - La Mancha, España",pass_1
08020241,39.2869161,-1.4706566,346056,relation,"Casas-Ibáñez, albacete, Castilla - La Mancha, España",pass_1
08020254,38.7063356,-0.9867523,346055,relation,"Caudete, albacete, Castilla - La Mancha, España",pass_1
08020267,39.3036546,-1.6613917,346058,relation,"Cenizate, albacete, Castilla - La Mancha, España",pass_1
08020292,38.8539601,-1.4018796,1241899161,node,Chinchilla de Monte-Aragón,pass_1
08020273,38.8353147,-1.4607877,255465863,way,"Corral-Rubio, albacete, Castilla - La Mancha, España",pass_1
08020289,38.4313285,-2.5072776,346064,relation,"Cotillas, albacete, Castilla - La Mancha, España",pass_1
08020306,38.4483634,-2.0489954,341798,relation,"Elche de la Sierra, albacete, Castilla - La Mancha, España",pass_1
08020313,38.3559199,-2.0094135,341799,relation,"Férez, albacete, Castilla - La Mancha, España",pass_1
08020328,39.2446271,-2.0684708,341796,relation,"Fuensanta, albacete, Castilla - La Mancha, España",pass_1
08020334,38.6930768,-1.4311203,2265913567,node,"Fuente-Álamo, albacete, Castilla - La Mancha, España",pass_1
08020349,39.2673015,-1.5492105,341794,relation,"Fuentealbilla, albacete, Castilla - La Mancha, España",pass_1
08020352,39.1152257,-1.9962065,342424,relation,"Gineta, La, albacete, Castilla - La Mancha, España",pass_1
08020365,39.2393335,-1.6368540,341792,relation,"Golosalvo, albacete, Castilla - La Mancha, España",pass_1
08020371,38.5106649,-1.6995137,341793,relation,"Hellín, albacete, Castilla - La Mancha, España",pass_1
08020387,38.9628919,-2.1267892,341800,relation,"Herrera, La, albacete, Castilla - La Mancha, España",pass_1
08020390,38.9643114,-1.4443612,344263,relation,"Higueruela, albacete, Castilla - La Mancha, España",pass_1
08020404,38.9577553,-1.5560966,339899,relation,"Hoya-Gonzalo, albacete, Castilla - La Mancha, España",pass_1
08020411,39.1749446,-1.5203717,341277,relation,"Jorquera, albacete, Castilla - La Mancha, España",pass_1
08020426,38.3661429,-2.1009119,339889,relation,"Letur, albacete, Castilla - La Mancha, España",pass_1
08020432,38.9491417,-2.3539771,339882,relation,"Lezuza, albacete, Castilla - La Mancha, España",pass_1
08020447,38.5422805,-1.9558065,341118,relation,"Liétor, albacete, Castilla - La Mancha, España",pass_1
08020450,39.2370979,-1.8001238,346970,relation,"Madrigueras, albacete, Castilla - La Mancha, España",pass_1
08020463,39.2133470,-1.7243828,339872,relation,"Mahora, albacete, Castilla - La Mancha, España",pass_1
08020479,38.7180307,-2.3158435,339871,relation,"Masegoso, albacete, Castilla - La Mancha, España",pass_1
08020485,39.2698449,-2.3212493,346979,relation,"Minaya, albacete, Castilla - La Mancha, España",pass_1
08020498,38.4665026,-2.2405552,346977,relation,"Molinicos, albacete, Castilla - La Mancha, España",pass_1
08020501,39.1670809,-2.0271089,341167,relation,"Montalvos, albacete, Castilla - La Mancha, España",pass_1
08020518,38.7872296,-1.3255651,341168,relation,"Montealegre del Castillo, albacete, Castilla - La Mancha, España",pass_1
08020523,39.1804849,-1.7907731,340857,relation,"Motilleja, albacete, Castilla - La Mancha, España",pass_1
08020539,39.0417625,-2.4800931,340860,relation,"Munera, albacete, Castilla - La Mancha, España",pass_1
08020544,39.2799099,-1.7184266,340861,relation,"Navas de Jorquera, albacete, Castilla - La Mancha, España",pass_1
08020557,38.1482489,-2.3014306,342806,relation,"Nerpio, albacete, Castilla - La Mancha, España",pass_1
08020560,38.6146429,-1.4984397,340863,relation,"Ontur, albacete, Castilla - La Mancha, España",pass_1
08020576,38.9625266,-2.7453748,341262,relation,"Ossa de Montiel, albacete, Castilla - La Mancha, España",pass_1
08020582,38.5973677,-2.3458477,342809,relation,"Paterna del Madera, albacete, Castilla - La Mancha, España",pass_1
08020609,38.7266169,-2.0019637,346673,relation,"Peñas de San Pedro, albacete, Castilla - La Mancha, España",pass_1
