id_pais,id_municipio,id_municipio_parcial,id_provincia,id_ccaa,nombre,provincia_nombre,ccaa_nombre,id_isla,isla,gid_municipio,gid_provincia,gid_ccaa
ES,16010513,010513,01,16,Agurain/Salvatierra,araba/álava,País Vasco,,,ES-16010513,ES-01,ES-16
ES,16010014,010014,01,16,Alegría-Dulantzi,araba/álava,País Vasco,,,ES-16010014,ES-01,ES-16
ES,16010029,010029,01,16,Amurrio,araba/álava,País Vasco,,,ES-16010029,ES-01,ES-16
ES,16010493,010493,01,16,Añana,araba/álava,País Vasco,,,ES-16010493,ES-01,ES-16
ES,16010035,010035,01,16,Aramaio,araba/álava,País Vasco,,,ES-16010035,ES-01,ES-16
ES,16010066,010066,01,16,Armiñón,araba/álava,País Vasco,,,ES-16010066,ES-01,ES-16
ES,16010376,010376,01,16,Arraia-Maeztu,araba/álava,País Vasco,,,ES-16010376,ES-01,ES-16
ES,16010088,010088,01,16,Arratzua-Ubarrundia,araba/álava,País Vasco,,,ES-16010088,ES-01,ES-16
ES,16010040,010040,01,16,Artziniega,araba/álava,País Vasco,,,ES-16010040,ES-01,ES-16
ES,16010091,010091,01,16,Asparrena,araba/álava,País Vasco,,,ES-16010091,ES-01,ES-16
ES,16010105,010105,01,16,Ayala/Aiara,araba/álava,País Vasco,,,ES-16010105,ES-01,ES-16
ES,16010112,010112,01,16,Baños de Ebro/Mañueta,araba/álava,País Vasco,,,ES-16010112,ES-01,ES-16
ES,16010133,010133,01,16,Barrundia,araba/álava,País Vasco,,,ES-16010133,ES-01,ES-16
ES,16010148,010148,01,16,Berantevilla,araba/álava,País Vasco,,,ES-16010148,ES-01,ES-16
ES,16010164,010164,01,16,Bernedo,araba/álava,País Vasco,,,ES-16010164,ES-01,ES-16
ES,16010170,010170,01,16,Campezo/Kanpezu,araba/álava,País Vasco,,,ES-16010170,ES-01,ES-16
ES,16010210,010210,01,16,Elburgo/Burgelu,araba/álava,País Vasco,,,ES-16010210,ES-01,ES-16
ES,16010225,010225,01,16,Elciego,araba/álava,País Vasco,,,ES-16010225,ES-01,ES-16
ES,16010231,010231,01,16,Elvillar/Bilar,araba/álava,País Vasco,,,ES-16010231,ES-01,ES-16
ES,16010468,010468,01,16,Erriberagoitia/Ribera Alta,araba/álava,País Vasco,,,ES-16010468,ES-01,ES-16
ES,16010565,010565,01,16,Harana/Valle de Arana,araba/álava,País Vasco,,,ES-16010565,ES-01,ES-16
ES,16019015,019015,01,16,Iruña Oka/Iruña de Oca,araba/álava,País Vasco,,,ES-16019015,ES-01,ES-16
ES,16010278,010278,01,16,Iruraiz-Gauna,araba/álava,País Vasco,,,ES-16010278,ES-01,ES-16
ES,16010199,010199,01,16,Kripan,araba/álava,País Vasco,,,ES-16010199,ES-01,ES-16
ES,16010203,010203,01,16,Kuartango,araba/álava,País Vasco,,,ES-16010203,ES-01,ES-16
ES,16010284,010284,01,16,Labastida/Bastida,araba/álava,País Vasco,,,ES-16010284,ES-01,ES-16
ES,16010301,010301,01,16,Lagrán,araba/álava,País Vasco,,,ES-16010301,ES-01,ES-16
ES,16010318,010318,01,16,Laguardia,araba/álava,País Vasco,,,ES-16010318,ES-01,ES-16
ES,16010323,010323,01,16,Lanciego/Lantziego,araba/álava,País Vasco,,,ES-16010323,ES-01,ES-16
ES,16019020,019020,01,16,Lantarón,araba/álava,País Vasco,,,ES-16019020,ES-01,ES-16
ES,16010339,010339,01,16,Lapuebla de Labarca,araba/álava,País Vasco,,,ES-16010339,ES-01,ES-16
ES,16010360,010360,01,16,Laudio/Llodio,araba/álava,País Vasco,,,ES-16010360,ES-01,ES-16
ES,16010587,010587,01,16,Legutio,araba/álava,País Vasco,,,ES-16010587,ES-01,ES-16
ES,16010344,010344,01,16,Leza,araba/álava,País Vasco,,,ES-16010344,ES-01,ES-16
ES,16010395,010395,01,16,Moreda de Álava/Moreda Araba,araba/álava,País Vasco,,,ES-16010395,ES-01,ES-16
ES,16010416,010416,01,16,Navaridas,araba/álava,País Vasco,,,ES-16010416,ES-01,ES-16
ES,16010421,010421,01,16,Okondo,araba/álava,País Vasco,,,ES-16010421,ES-01,ES-16
ES,16010437,010437,01,16,Oyón-Oion,araba/álava,País Vasco,,,ES-16010437,ES-01,ES-16
ES,16010442,010442,01,16,Peñacerrada-Urizaharra,araba/álava,País Vasco,,,ES-16010442,ES-01,ES-16
ES,16010474,010474,01,16,Ribera Baja/Erriberabeitia,araba/álava,País Vasco,,,ES-16010474,ES-01,ES-16
ES,16010528,010528,01,16,Samaniego,araba/álava,País Vasco,,,ES-16010528,ES-01,ES-16
ES,16010534,010534,01,16,San Millán/Donemiliaga,araba/álava,País Vasco,,,ES-16010534,ES-01,ES-16
ES,16010549,010549,01,16,Urkabustaiz,araba/álava,País Vasco,,,ES-16010549,ES-01,ES-16
ES,16010552,010552,01,16,Valdegovía/Gaubea,araba/álava,País Vasco,,,ES-16010552,ES-01,ES-16
ES,16010571,010571,01,16,Villabuena de Álava/Eskuernaga,araba/álava,País Vasco,,,ES-16010571,ES-01,ES-16
ES,16010590,010590,01,16,Vitoria-Gasteiz,araba/álava,País Vasco,,,ES-16010590,ES-01,ES-16
ES,16010604,010604,01,16,Yécora/Iekora,araba/álava,País Vasco,,,ES-16010604,ES-01,ES-16
ES,16010611,010611,01,16,Zalduondo,araba/álava,País Vasco,,,ES-16010611,ES-01,ES-16
ES,16010626,010626,01,16,Zambrana,araba/álava,País Vasco,,,ES-16010626,ES-01,ES-16
ES,16010186,010186,01,16,Zigoitia,araba/álava,País Vasco,,,ES-16010186,ES-01,ES-16
ES,16010632,010632,01,16,Zuia,araba/álava,País Vasco,,,ES-16010632,ES-01,ES-16
ES,08020019,020019,02,08,Abengibre,albacete,Castilla - La Mancha,,,ES-08020019,ES-02,ES-08
ES,08020024,020024,02,08,Alatoz,albacete,Castilla - La Mancha,,,ES-08020024,ES-02,ES-08
ES,08020030,020030,02,08,Albacete,albacete,Castilla - La Mancha,,,ES-08020030,ES-02,ES-08
ES,08020045,020045,02,08,Albatana,albacete,Castilla - La Mancha,,,ES-08020045,ES-02,ES-08
ES,08020058,020058,02,08,Alborea,albacete,Castilla - La Mancha,,,ES-08020058,ES-02,ES-08
ES,08020061,020061,02,08,Alcadozo,albacete,Castilla - La Mancha,,,ES-08020061,ES-02,ES-08
ES,08020077,020077,02,08,Alcalá del Júcar,albacete,Castilla - La Mancha,,,ES-08020077,ES-02,ES-08
ES,08020083,020083,02,08,Alcaraz,albacete,Castilla - La Mancha,,,ES-08020083,ES-02,ES-08
ES,08020096,020096,02,08,Almansa,albacete,Castilla - La Mancha,,,ES-08020096,ES-02,ES-08
ES,08020100,020100,02,08,Alpera,albacete,Castilla - La Mancha,,,ES-08020100,ES-02,ES-08
ES,08020117,020117,02,08,Ayna,albacete,Castilla - La Mancha,,,ES-08020117,ES-02,ES-08
ES,08020122,020122,02,08,Balazote,albacete,Castilla - La Mancha,,,ES-08020122,ES-02,ES-08
ES,08020143,020143,02,08,"Ballestero, El",albacete,Castilla - La Mancha,,,ES-08020143,ES-02,ES-08
ES,08020138,020138,02,08,Balsa de Ves,albacete,Castilla - La Mancha,,,ES-08020138,ES-02,ES-08
ES,08020156,020156,02,08,Barrax,albacete,Castilla - La Mancha,,,ES-08020156,ES-02,ES-08
ES,08020169,020169,02,08,Bienservida,albacete,Castilla - La Mancha,,,ES-08020169,ES-02,ES-08
ES,08020175,020175,02,08,Bogarra,albacete,Castilla - La Mancha,,,ES-08020175,ES-02,ES-08
ES,08020181,020181,02,08,Bonete,albacete,Castilla - La Mancha,,,ES-08020181,ES-02,ES-08
ES,08020194,020194,02,08,"Bonillo, El",albacete,Castilla - La Mancha,,,ES-08020194,ES-02,ES-08
ES,08020208,020208,02,08,Carcelén,albacete,Castilla - La Mancha,,,ES-08020208,ES-02,ES-08
ES,08020215,020215,02,08,Casas de Juan Núñez,albacete,Castilla - La Mancha,,,ES-08020215,ES-02,ES-08
ES,08020220,020220,02,08,Casas de Lázaro,albacete,Castilla - La Mancha,,,ES-08020220,ES-02,ES-08
ES,08020236,020236,02,08,Casas de Ves,albacete,Castilla - La Mancha,,,ES-08020236,ES-02,ES-08
ES,08020241,020241,02,08,Casas-Ibáñez,albacete,Castilla - La Mancha,,,ES-08020241,ES-02,ES-08
ES,08020254,020254,02,08,Caudete,albacete,Castilla - La Mancha,,,ES-08020254,ES-02,ES-08
ES,08020267,020267,02,08,Cenizate,albacete,Castilla - La Mancha,,,ES-08020267,ES-02,ES-08
ES,08020292,020292,02,08,Chinchilla de Monte-Aragón,albacete,Castilla - La Mancha,,,ES-08020292,ES-02,ES-08
ES,08020273,020273,02,08,Corral-Rubio,albacete,Castilla - La Mancha,,,ES-08020273,ES-02,ES-08
ES,08020289,020289,02,08,Cotillas,albacete,Castilla - La Mancha,,,ES-08020289,ES-02,ES-08
ES,08020306,020306,02,08,Elche de la Sierra,albacete,Castilla - La Mancha,,,ES-08020306,ES-02,ES-08
ES,08020313,020313,02,08,Férez,albacete,Castilla - La Mancha,,,ES-08020313,ES-02,ES-08
ES,08020328,020328,02,08,Fuensanta,albacete,Castilla - La Mancha,,,ES-08020328,ES-02,ES-08
