año,mes,año_mes,mes_nombre,mes_nombre_corto,trimestre,trimestre_nombre,año_trimestre,semestre,semestre_nombre,estacion,temporada_turistica,temporada_orden,es_temporada_alta,es_temporada_baja,es_periodo_vacacional
2023,1,2023-01,Enero,Ene,1,Q1 (Ene-Mar),2023-Q1,1,S1 (Ene-Jun),Invierno,Baja,1,False,True,False
2023,2,2023-02,Febrero,Feb,1,Q1 (Ene-Mar),2023-Q1,1,S1 (Ene-Jun),Invierno,Baja,1,False,True,False
2023,3,2023-03,Marzo,Mar,1,Q1 (Ene-Mar),2023-Q1,1,S1 (Ene-Jun),Primavera,Media,2,False,False,False
2023,4,2023-04,Abril,Abr,2,Q2 (Abr-Jun),2023-Q2,1,S1 (Ene-Jun),Primavera,Media,2,False,False,False
2023,5,2023-05,Mayo,May,2,Q2 (Abr-Jun),2023-Q2,1,S1 (Ene-Jun),Primavera,Media,2,False,False,False
2023,6,2023-06,Junio,Jun,2,Q2 (Abr-Jun),2023-Q2,1,S1 (Ene-Jun),Verano,Media,2,False,False,False
2023,7,2023-07,Julio,Jul,3,Q3 (Jul-Sep),2023-Q3,2,S2 (Jul-Dic),Verano,Alta,3,True,False,True
2023,8,2023-08,Agosto,Ago,3,Q3 (Jul-Sep),2023-Q3,2,S2 (Jul-Dic),Verano,Alta,3,True,False,True
2023,9,2023-09,Septiembre,Sep,3,Q3 (Jul-Sep),2023-Q3,2,S2 (Jul-Dic),Otoño,Alta,3,True,False,False
2023,10,2023-10,Octubre,Oct,4,Q4 (Oct-Dic),2023-Q4,2,S2 (Jul-Dic),Otoño,Media,2,False,False,False
2023,11,2023-11,Noviembre,Nov,4,Q4 (Oct-Dic),2023-Q4,2,S2 (Jul-Dic),Otoño,Baja,1,False,True,False
2023,12,2023-12,Diciembre,Dic,4,Q4 (Oct-Dic),2023-Q4,2,S2 (Jul-Dic),Invierno,Baja,1,False,True,True
2024,1,2024-01,Enero,Ene,1,Q1 (Ene-Mar),2024-Q1,1,S1 (Ene-Jun),Invierno,Baja,1,False,True,False
2024,2,2024-02,Febrero,Feb,1,Q1 (Ene-Mar),2024-Q1,1,S1 (Ene-Jun),Invierno,Baja,1,False,True,False
2024,3,2024-03,Marzo,Mar,1,Q1 (Ene-Mar),2024-Q1,1,S1 (Ene-Jun),Primavera,Media,2,False,False,False
2024,4,2024-04,Abril,Abr,2,Q2 (Abr-Jun),2024-Q2,1,S1 (Ene-Jun),Primavera,Media,2,False,False,False
2024,5,2024-05,Mayo,May,2,Q2 (Abr-Jun),2024-Q2,1,S1 (Ene-Jun),Primavera,Media,2,False,False,False
2024,6,2024-06,Junio,Jun,2,Q2 (Abr-Jun),2024-Q2,1,S1 (Ene-Jun),Verano,Media,2,False,False,False
2024,7,2024-07,Julio,Jul,3,Q3 (Jul-Sep),2024-Q3,2,S2 (Jul-Dic),Verano,Alta,3,True,False,True
2024,8,2024-08,Agosto,Ago,3,Q3 (Jul-Sep),2024-Q3,2,S2 (Jul-Dic),Verano,Alta,3,True,False,True
2024,9,2024-09,Septiembre,Sep,3,Q3 (Jul-Sep),2024-Q3,2,S2 (Jul-Dic),Otoño,Alta,3,True,False,False
2024,10,2024-10,Octubre,Oct,4,Q4 (Oct-Dic),2024-Q4,2,S2 (Jul-Dic),Otoño,Media,2,False,False,False
2024,11,2024-11,Noviembre,Nov,4,Q4 (Oct-Dic),2024-Q4,2,S2 (Jul-Dic),Otoño,Baja,1,False,True,False
2024,12,2024-12,Diciembre,Dic,4,Q4 (Oct-Dic),2024-Q4,2,S2 (Jul-Dic),Invierno,Baja,1,False,True,True
2025,1,2025-01,Enero,Ene,1,Q1 (Ene-Mar),2025-Q1,1,S1 (Ene-Jun),Invierno,Baja,1,False,True,False
2025,2,2025-02,Febrero,Feb,1,Q1 (Ene-Mar),2025-Q1,1,S1 (Ene-Jun),Invierno,Baja,1,False,True,False
2025,3,2025-03,Marzo,Mar,1,Q1 (Ene-Mar),2025-Q1,1,S1 (Ene-Jun),Primavera,Media,2,False,False,False
2025,4,2025-04,Abril,Abr,2,Q2 (Abr-Jun),2025-Q2,1,S1 (Ene-Jun),Primavera,Media,2,False,False,False
2025,5,2025-05,Mayo,May,2,Q2 (Abr-Jun),2025-Q2,1,S1 (Ene-Jun),Primavera,Media,2,False,False,False
2025,6,2025-06,Junio,Jun,2,Q2 (Abr-Jun),2025-Q2,1,S1 (Ene-Jun),Verano,Media,2,False,False,False
2025,7,2025-07,Julio,Jul,3,Q3 (Jul-Sep),2025-Q3,2,S2 (Jul-Dic),Verano,Alta,3,True,False,True
2025,8,2025-08,Agosto,Ago,3,Q3 (Jul-Sep),2025-Q3,2,S2 (Jul-Dic),Verano,Alta,3,True,False,True
2025,9,2025-09,Septiembre,Sep,3,Q3 (Jul-Sep),2025-Q3,2,S2 (Jul-Dic),Otoño,Alta,3,True,False,False
2025,10,2025-10,Octubre,Oct,4,Q4 (Oct-Dic),2025-Q4,2,S2 (Jul-Dic),Otoño,Media,2,False,False,False
2025,11,2025-11,Noviembre,Nov,4,Q4 (Oct-Dic),2025-Q4,2,S2 (Jul-Dic),Otoño,Baja,1,False,True,False
2025,12,2025-12,Diciembre,Dic,4,Q4 (Oct-Dic),2025-Q4,2,S2 (Jul-Dic),Invierno,Baja,1,False,True,True
