id_actividad,id_pais,id_ccaa,id_provincia,año,mes,categoria,producto,subcategoria,comunidad_autonoma,provincia,gasto_total_promedio,precio_medio_entrada_promedio,valoracion_por_categoria_promedio,valoracion_general_promedio,total_opiniones_categoria_promedio,hay_valoracion
1,ES,01,04,2023,7,paisaje naturaleza,actividades,actividades infantiles,andalucia,almeria,7455.0,125.0,4.32,4.19,23376,True
2,ES,01,11,2023,7,paisaje naturaleza,actividades,actividades infantiles,andalucia,cadiz,32707.5,949.5,4.27,4.26,12350,True
3,ES,01,14,2023,7,paisaje naturaleza,actividades,actividades infantiles,andalucia,cordoba,71552.5,1885.5,4.32,4.29,3767,True
4,ES,01,18,2023,7,paisaje naturaleza,actividades,actividades infantiles,andalucia,granada,14971.5,1034.5,4.52,4.37,18492,True
5,ES,01,21,2023,7,paisaje naturaleza,actividades,actividades infantiles,andalucia,huelva,106396.0,1588.0,4.12,4.11,8396,True
6,ES,01,23,2023,7,paisaje naturaleza,actividades,actividades infantiles,andalucia,jaen,27692.0,989.0,4.44,4.33,4366,True
7,ES,01,29,2023,7,paisaje naturaleza,actividades,actividades infantiles,andalucia,malaga,12816.0,1257.5,4.44,4.43,109648,True
8,ES,01,41,2023,7,paisaje naturaleza,actividades,actividades infantiles,andalucia,sevilla,119370.0,1264.0,4.47,4.34,21476,True
9,ES,02,22,2023,7,paisaje naturaleza,actividades,actividades infantiles,aragon,huesca,300.0,50.0,4.56,4.25,17445,True
10,ES,06,39,2023,7,paisaje naturaleza,actividades,actividades infantiles,cantabria,cantabria,1188.0,198.0,4.36,4.27,37946,True
11,ES,08,13,2023,7,paisaje naturaleza,actividades,actividades infantiles,castilla - la mancha,ciudad real,26312.0,2024.0,4.36,4.29,3026,True
12,ES,08,16,2023,7,paisaje naturaleza,actividades,actividades infantiles,castilla - la mancha,cuenca,1020.0,1020.0,4.42,4.19,3251,True
13,ES,07,09,2023,7,paisaje naturaleza,actividades,actividades infantiles,castilla y leon,burgos,55568.0,1208.0,4.44,4.28,6285,True
