id_pais,id_municipio,id_municipio_parcial,id_isla,isla,gid_isla,gid_municipio
ES,04070244,070244,07071,Formentera,ES-07071,ES-04070244
ES,04070260,070260,07072,Ibiza,ES-07072,ES-04070260
ES,04070466,070466,07072,Ibiza,ES-07072,ES-04070466
ES,04070504,070504,07072,Ibiza,ES-07072,ES-04070504
ES,04070488,070488,07072,Ibiza,ES-07072,ES-04070488
ES,04070547,070547,07072,Ibiza,ES-07072,ES-04070547
ES,04070012,070012,07073,Mallorca,ES-07073,ES-04070012
ES,04070033,070033,07073,Mallorca,ES-07073,ES-04070033
ES,04070048,070048,07073,Mallorca,ES-07073,ES-04070048
ES,04070051,070051,07073,Mallorca,ES-07073,ES-04070051
ES,04079013,079013,07073,Mallorca,ES-07073,ES-04079013
ES,04070064,070064,07073,Mallorca,ES-07073,ES-04070064
ES,04070070,070070,07073,Mallorca,ES-07073,ES-04070070
ES,04070086,070086,07073,Mallorca,ES-07073,ES-04070086
ES,04070099,070099,07073,Mallorca,ES-07073,ES-04070099
ES,04070103,070103,07073,Mallorca,ES-07073,ES-04070103
ES,04070110,070110,07073,Mallorca,ES-07073,ES-04070110
ES,04070125,070125,07073,Mallorca,ES-07073,ES-04070125
ES,04070131,070131,07073,Mallorca,ES-07073,ES-04070131
ES,04070146,070146,07073,Mallorca,ES-07073,ES-04070146
ES,04070162,070162,07073,Mallorca,ES-07073,ES-04070162
ES,04070178,070178,07073,Mallorca,ES-07073,ES-04070178
ES,04070184,070184,07073,Mallorca,ES-07073,ES-04070184
ES,04070197,070197,07073,Mallorca,ES-07073,ES-04070197
ES,04070201,070201,07073,Mallorca,ES-07073,ES-04070201
ES,04070218,070218,07073,Mallorca,ES-07073,ES-04070218
ES,04070223,070223,07073,Mallorca,ES-07073,ES-04070223
ES,04070257,070257,07073,Mallorca,ES-07073,ES-04070257
ES,04070276,070276,07073,Mallorca,ES-07073,ES-04070276
ES,04070282,070282,07073,Mallorca,ES-07073,ES-04070282
ES,04070295,070295,07073,Mallorca,ES-07073,ES-04070295
ES,04070309,070309,07073,Mallorca,ES-07073,ES-04070309
ES,04070316,070316,07073,Mallorca,ES-07073,ES-04070316
ES,04070337,070337,07073,Mallorca,ES-07073,ES-04070337
ES,04070342,070342,07073,Mallorca,ES-07073,ES-04070342
ES,04070355,070355,07073,Mallorca,ES-07073,ES-04070355
ES,04070368,070368,07073,Mallorca,ES-07073,ES-04070368
ES,04070380,070380,07073,Mallorca,ES-07073,ES-04070380
ES,04070393,070393,07073,Mallorca,ES-07073,ES-04070393
ES,04070407,070407,07073,Mallorca,ES-07073,ES-04070407
ES,04070414,070414,07073,Mallorca,ES-07073,ES-04070414
ES,04070440,070440,07073,Mallorca,ES-07073,ES-04070440
ES,04070429,070429,07073,Mallorca,ES-07073,ES-04070429
ES,04070435,070435,07073,Mallorca,ES-07073,ES-04070435
ES,04070453,070453,07073,Mallorca,ES-07073,ES-04070453
ES,04070598,070598,07073,Mallorca,ES-07073,ES-04070598
ES,04070491,070491,07073,Mallorca,ES-07073,ES-04070491
ES,04070511,070511,07073,Mallorca,ES-07073,ES-04070511
ES,04070532,070532,07073,Mallorca,ES-07073,ES-04070532
ES,04070550,070550,07073,Mallorca,ES-07073,ES-04070550
ES,04070563,070563,07073,Mallorca,ES-07073,ES-04070563
ES,04070579,070579,07073,Mallorca,ES-07073,ES-04070579
ES,04070585,070585,07073,Mallorca,ES-07073,ES-04070585
ES,04070472,070472,07073,Mallorca,ES-07073,ES-04070472
ES,04070602,070602,07073,Mallorca,ES-07073,ES-04070602
ES,04070619,070619,07073,Mallorca,ES-07073,ES-04070619
ES,04070624,070624,07073,Mallorca,ES-07073,ES-04070624
ES,04070630,070630,07073,Mallorca,ES-07073,ES-04070630
ES,04070658,070658,07073,Mallorca,ES-07073,ES-04070658
ES,04070027,070027,07074,Menorca,ES-07074,ES-04070027
