año,mes,pais_origen,ciudad_destino,tipo_origen,asientos,distancia_media,variacion_interanual_asientos
2023,1,albania,barcelona,internacional,4140,1467.0,51.87
2023,1,albania,madrid,internacional,1806,1950.0,-8.32
2023,1,alemania,alacant/alicante,internacional,17213,1551.91,12.04
2023,1,alemania,barcelona,internacional,123377,1208.18,51.15
2023,1,alemania,bilbao,internacional,22752,1186.67,19.17
2023,1,alemania,fuerteventura,internacional,73471,2778.17,6.37
2023,1,alemania,ibiza,internacional,648,1441.0,-18.18
2023,1,alemania,jerez de la frontera,internacional,1224,1898.67,0.0
2023,1,alemania,lanzarote,internacional,33430,2987.91,9.5
2023,1,alemania,madrid,internacional,120682,1557.53,9.94
2023,1,alemania,mallorca,internacional,101218,1368.67,19.54
2023,1,alemania,málaga,internacional,33897,1840.11,5.95
2023,1,alemania,oviedo,internacional,1890,1272.0,0.0
2023,1,alemania,"palmas de gran canaria, las",internacional,97555,3185.83,5.63
2023,1,alemania,santa cruz de la palma,internacional,7330,2944.11,0.0
2023,1,alemania,santiago de compostela,internacional,1701,1554.0,0.0
2023,1,alemania,sevilla,internacional,9436,1805.86,49.19
2023,1,alemania,tenerife,internacional,94321,3191.46,21.06
2023,1,alemania,valència,internacional,23058,1477.55,10.51
2023,1,angola,madrid,internacional,4165,5748.0,0.0
2023,1,arabia saudí,barcelona,internacional,2682,4087.0,603.94
2023,1,arabia saudí,madrid,internacional,5423,4514.0,7.05
2023,1,argelia,barcelona,internacional,7111,519.0,3.67
2023,1,argelia,madrid,internacional,1530,1157.33,72.88
2023,1,argentina,barcelona,internacional,8740,10475.0,78.51
2023,1,argentina,madrid,internacional,47436,9930.67,72.71
2023,1,austria,alacant/alicante,internacional,2601,1759.0,11.15
2023,1,austria,barcelona,internacional,24306,1369.0,70.17
2023,1,austria,fuerteventura,internacional,2541,3398.0,43.56
2023,1,austria,lanzarote,internacional,936,3342.0,4.0
2023,1,austria,madrid,internacional,22164,1804.0,47.58
2023,1,austria,mallorca,internacional,8691,1456.0,59.82
2023,1,austria,málaga,internacional,8130,2133.0,10.48
2023,1,austria,"palmas de gran canaria, las",internacional,4390,3480.0,-33.67
2023,1,austria,santander,internacional,1701,1657.0,0.0
2023,1,austria,sevilla,internacional,1647,2170.0,-8.5
2023,1,austria,tenerife,internacional,9021,3560.8,24.88
2023,1,austria,valència,internacional,3529,1664.0,-1.97
2023,1,austria,zaragoza,internacional,1656,1556.0,2.22
2023,1,bolivia,madrid,internacional,10111,8912.0,23.55
2023,1,brasil,barcelona,internacional,3918,8759.0,4.29
2023,1,brasil,madrid,internacional,36505,8038.2,41.66
2023,1,bulgaria,alacant/alicante,internacional,1785,2076.0,98.33
2023,1,bulgaria,barcelona,internacional,8070,1762.0,37.46
2023,1,bulgaria,madrid,internacional,7505,2245.0,52.57
2023,1,bulgaria,mallorca,internacional,864,1759.0,118.18
2023,1,bulgaria,málaga,internacional,2684,1586.5,1391.11
2023,1,bulgaria,valència,internacional,2616,2024.0,12.27
2023,1,bélgica,alacant/alicante,internacional,32820,1444.64,26.43
2023,1,bélgica,barcelona,internacional,31787,1077.44,33.94
2023,1,bélgica,bilbao,internacional,3658,1010.0,88.17
2023,1,bélgica,castelló de la plana,internacional,1701,1187.0,0.0
2023,1,bélgica,fuerteventura,internacional,3426,1035.33,262.54
2023,1,bélgica,lanzarote,internacional,6039,2854.33,13.56
2023,1,bélgica,madrid,internacional,49451,1307.18,14.8
2023,1,bélgica,mallorca,internacional,3141,1218.0,39.04
2023,1,bélgica,murcia,internacional,560,1534.5,-59.42
2023,1,bélgica,málaga,internacional,28241,1630.21,11.64
2023,1,bélgica,oviedo,internacional,1890,1100.0,0.0
2023,1,bélgica,"palmas de gran canaria, las",internacional,12928,2554.5,1.88
2023,1,bélgica,santa cruz de la palma,internacional,756,3094.0,0.0
2023,1,bélgica,santander,internacional,2497,1001.0,-5.63
2023,1,bélgica,santiago de compostela,internacional,1512,1287.0,0.0
2023,1,bélgica,sevilla,internacional,4914,1664.0,30.0
2023,1,bélgica,tenerife,internacional,28607,2350.45,34.04
2023,1,bélgica,valència,internacional,12393,1305.2,33.1
2023,1,bélgica,vitoria-gasteiz,internacional,1512,1002.0,0.0
2023,1,bélgica,zaragoza,internacional,1323,1063.0,-22.22
2023,1,cabo verde,"palmas de gran canaria, las",internacional,3068,1509.4,0.0
2023,1,canadá,málaga,internacional,2035,5701.0,80.41
2023,1,chile,barcelona,internacional,4082,11144.0,0.0
2023,1,chile,madrid,internacional,19854,10713.0,5.38
2023,1,china,madrid,internacional,4636,9700.33,11.02
2023,1,colombia,barcelona,internacional,9500,8508.0,22.58
2023,1,colombia,madrid,internacional,69284,8054.0,50.09
2023,1,corea,barcelona,internacional,5952,9588.0,0.0
2023,1,costa rica,madrid,internacional,12820,8494.0,18.7
