año,mes,pais_origen,tipo_origen,ciudad_destino,pasajeros
2023,1,albania,internacional,barcelona,3654
2023,1,albania,internacional,madrid,1614
2023,1,alemania,internacional,alacant/alicante,15223
2023,1,alemania,internacional,barcelona,99463
2023,1,alemania,internacional,bilbao,17076
2023,1,alemania,internacional,fuerteventura,50939
2023,1,alemania,internacional,ibiza,447
2023,1,alemania,internacional,jerez de la frontera,687
2023,1,alemania,internacional,lanzarote,23749
2023,1,alemania,internacional,madrid,94126
2023,1,alemania,internacional,mallorca,83138
2023,1,alemania,internacional,malaga,28806
2023,1,alemania,internacional,oviedo,1670
2023,1,alemania,internacional,"palmas de gran canaria, las",70509
2023,1,alemania,internacional,santa cruz de la palma,3910
2023,1,alemania,internacional,santiago de compostela,1503
2023,1,alemania,internacional,sevilla,7430
2023,1,alemania,internacional,tenerife,73085
2023,1,alemania,internacional,valencia,18324
2023,1,angola,internacional,madrid,2739
2023,1,arabia saudi,internacional,barcelona,1647
2023,1,arabia saudi,internacional,madrid,3773
2023,1,argelia,internacional,barcelona,4173
2023,1,argelia,internacional,madrid,822
2023,1,argentina,internacional,barcelona,7371
2023,1,argentina,internacional,madrid,33830
2023,1,austria,internacional,alacant/alicante,2321
2023,1,austria,internacional,barcelona,19534
2023,1,austria,internacional,fuerteventura,2182
2023,1,austria,internacional,lanzarote,831
2023,1,austria,internacional,madrid,17879
2023,1,austria,internacional,mallorca,6907
2023,1,austria,internacional,malaga,6590
2023,1,austria,internacional,"palmas de gran canaria, las",3642
2023,1,austria,internacional,santander,1413
2023,1,austria,internacional,sevilla,1446
2023,1,austria,internacional,tenerife,7888
2023,1,austria,internacional,valencia,2604
2023,1,austria,internacional,zaragoza,1413
2023,1,bolivia,internacional,madrid,6164
2023,1,brasil,internacional,barcelona,2745
2023,1,brasil,internacional,madrid,30050
2023,1,bulgaria,internacional,alacant/alicante,1601
2023,1,bulgaria,internacional,barcelona,7152
2023,1,bulgaria,internacional,madrid,6029
2023,1,bulgaria,internacional,mallorca,434
2023,1,bulgaria,internacional,malaga,1801
2023,1,bulgaria,internacional,valencia,2289
2023,1,belgica,internacional,alacant/alicante,27777
2023,1,belgica,internacional,barcelona,26987
2023,1,belgica,internacional,bilbao,2184
2023,1,belgica,internacional,castello de la plana,1485
2023,1,belgica,internacional,fuerteventura,1626
2023,1,belgica,internacional,lanzarote,4711
2023,1,belgica,internacional,madrid,40191
2023,1,belgica,internacional,mallorca,2767
2023,1,belgica,internacional,murcia,538
2023,1,belgica,internacional,malaga,22493
2023,1,belgica,internacional,oviedo,1690
2023,1,belgica,internacional,"palmas de gran canaria, las",10099
2023,1,belgica,internacional,santa cruz de la palma,460
2023,1,belgica,internacional,santander,2172
2023,1,belgica,internacional,santiago de compostela,1336
2023,1,belgica,internacional,sevilla,4483
2023,1,belgica,internacional,tenerife,21042
2023,1,belgica,internacional,valencia,10890
2023,1,belgica,internacional,vitoria-gasteiz,1336
2023,1,belgica,internacional,zaragoza,1204
2023,1,cabo verde,internacional,"palmas de gran canaria, las",2887
2023,1,canada,internacional,malaga,1423
2023,1,chile,internacional,barcelona,3354
2023,1,chile,internacional,madrid,16209
2023,1,china,internacional,madrid,3156
2023,1,colombia,internacional,barcelona,5829
2023,1,colombia,internacional,madrid,57236
2023,1,corea,internacional,barcelona,4628
2023,1,costa rica,internacional,madrid,10520
2023,1,croacia,internacional,barcelona,429
2023,1,croacia,internacional,malaga,1503
2023,1,cuba,internacional,madrid,18498
2023,1,dinamarca,internacional,alacant/alicante,8638
2023,1,dinamarca,internacional,barcelona,13235
2023,1,dinamarca,internacional,bilbao,1823
2023,1,dinamarca,internacional,fuerteventura,732
2023,1,dinamarca,internacional,lanzarote,532
2023,1,dinamarca,internacional,madrid,11035
2023,1,dinamarca,internacional,mallorca,864
2023,1,dinamarca,internacional,malaga,19531
2023,1,dinamarca,internacional,"palmas de gran canaria, las",14849
2023,1,dinamarca,internacional,sevilla,1557
2023,1,dinamarca,internacional,tenerife,9809
2023,1,ecuador,internacional,madrid,15442
