id_pais,id_ccaa,id_provincia,ccaa,ccaa_key,provincia,año,mes,categoria_alojamiento,valoraciones
ES,01,04,andalucia,andalucia,almeria,2023,1,hotel 3 estrellas,84.06
ES,01,04,andalucia,andalucia,almeria,2023,1,hotel 4 estrellas,80.36
ES,01,04,andalucia,andalucia,almeria,2023,1,hotel 5 estrellas,76.77
ES,01,04,andalucia,andalucia,almeria,2023,1,total,80.75
ES,01,11,andalucia,andalucia,cadiz,2023,1,hotel 3 estrellas,75.03
ES,01,11,andalucia,andalucia,cadiz,2023,1,hotel 4 estrellas,71.74
ES,01,11,andalucia,andalucia,cadiz,2023,1,hotel 5 estrellas,72.69
ES,01,11,andalucia,andalucia,cadiz,2023,1,total,75.86
ES,01,14,andalucia,andalucia,cordoba,2023,1,hotel 3 estrellas,85.99
ES,01,14,andalucia,andalucia,cordoba,2023,1,hotel 4 estrellas,83.1
ES,01,14,andalucia,andalucia,cordoba,2023,1,hotel 5 estrellas,89.71
ES,01,14,andalucia,andalucia,cordoba,2023,1,total,83.2
ES,01,18,andalucia,andalucia,granada,2023,1,hotel 3 estrellas,66.03
ES,01,18,andalucia,andalucia,granada,2023,1,hotel 4 estrellas,71.11
ES,01,18,andalucia,andalucia,granada,2023,1,hotel 5 estrellas,84.08
ES,01,18,andalucia,andalucia,granada,2023,1,total,72.29
ES,01,21,andalucia,andalucia,huelva,2023,1,hotel 3 estrellas,74.89
ES,01,21,andalucia,andalucia,huelva,2023,1,hotel 4 estrellas,69.44
ES,01,21,andalucia,andalucia,huelva,2023,1,hotel 5 estrellas,76.77
ES,01,21,andalucia,andalucia,huelva,2023,1,total,75.54
ES,01,23,andalucia,andalucia,jaen,2023,1,hotel 3 estrellas,70.61
ES,01,23,andalucia,andalucia,jaen,2023,1,hotel 4 estrellas,77.25
ES,01,23,andalucia,andalucia,jaen,2023,1,hotel 5 estrellas,43.72
ES,01,23,andalucia,andalucia,jaen,2023,1,total,64.42
ES,01,29,andalucia,andalucia,malaga,2023,1,hotel 3 estrellas,73.26
ES,01,29,andalucia,andalucia,malaga,2023,1,hotel 4 estrellas,81.73
ES,01,29,andalucia,andalucia,malaga,2023,1,hotel 5 estrellas,85.29
ES,01,29,andalucia,andalucia,malaga,2023,1,total,78.22
ES,01,41,andalucia,andalucia,sevilla,2023,1,hotel 3 estrellas,80.45
ES,01,41,andalucia,andalucia,sevilla,2023,1,hotel 4 estrellas,85.29
ES,01,41,andalucia,andalucia,sevilla,2023,1,hotel 5 estrellas,85.15
ES,01,41,andalucia,andalucia,sevilla,2023,1,total,83.93
ES,02,22,aragon,aragon,huesca,2023,1,hotel 3 estrellas,75.66
ES,02,22,aragon,aragon,huesca,2023,1,hotel 4 estrellas,90.59
ES,02,22,aragon,aragon,huesca,2023,1,hotel 5 estrellas,99.13
ES,02,22,aragon,aragon,huesca,2023,1,total,73.4
ES,02,44,aragon,aragon,teruel,2023,1,hotel 3 estrellas,72.24
ES,02,44,aragon,aragon,teruel,2023,1,hotel 4 estrellas,79.5
ES,02,44,aragon,aragon,teruel,2023,1,hotel 5 estrellas,99.13
ES,02,44,aragon,aragon,teruel,2023,1,total,75.58
ES,02,50,aragon,aragon,zaragoza,2023,1,hotel 3 estrellas,87.7
ES,02,50,aragon,aragon,zaragoza,2023,1,hotel 4 estrellas,86.18
ES,02,50,aragon,aragon,zaragoza,2023,1,hotel 5 estrellas,99.13
ES,02,50,aragon,aragon,zaragoza,2023,1,total,87.11
ES,03,33,"asturias, principado de",asturias,asturias,2023,1,hotel 3 estrellas,84.41
ES,03,33,"asturias, principado de",asturias,asturias,2023,1,hotel 4 estrellas,78.01
ES,03,33,"asturias, principado de",asturias,asturias,2023,1,hotel 5 estrellas,89.06
ES,03,33,"asturias, principado de",asturias,asturias,2023,1,total,82.66
ES,04,07,"balears, illes",balears,illes balears,2023,1,hotel 3 estrellas,67.04
ES,04,07,"balears, illes",balears,illes balears,2023,1,hotel 4 estrellas,78.28
ES,04,07,"balears, illes",balears,illes balears,2023,1,hotel 5 estrellas,84.56
ES,04,07,"balears, illes",balears,illes balears,2023,1,total,77.28
ES,05,35,canarias,canarias,las palmas,2023,1,hotel 3 estrellas,61.77
ES,05,35,canarias,canarias,las palmas,2023,1,hotel 4 estrellas,61.39
ES,05,35,canarias,canarias,las palmas,2023,1,hotel 5 estrellas,80.4
ES,05,35,canarias,canarias,las palmas,2023,1,total,64.51
ES,05,38,canarias,canarias,santa cruz de tenerife,2023,1,hotel 3 estrellas,60.3
ES,05,38,canarias,canarias,santa cruz de tenerife,2023,1,hotel 4 estrellas,59.17
ES,05,38,canarias,canarias,santa cruz de tenerife,2023,1,hotel 5 estrellas,72.28
ES,05,38,canarias,canarias,santa cruz de tenerife,2023,1,total,60.73
ES,06,39,cantabria,cantabria,cantabria,2023,1,hotel 3 estrellas,80.92
ES,06,39,cantabria,cantabria,cantabria,2023,1,hotel 4 estrellas,90.31
ES,06,39,cantabria,cantabria,cantabria,2023,1,hotel 5 estrellas,94.41
ES,06,39,cantabria,cantabria,cantabria,2023,1,total,86.73
ES,07,05,castilla y leon,castilla y leon,avila,2023,1,hotel 3 estrellas,88.96
ES,07,05,castilla y leon,castilla y leon,avila,2023,1,hotel 4 estrellas,83.98
ES,07,05,castilla y leon,castilla y leon,avila,2023,1,hotel 5 estrellas,99.3
ES,07,05,castilla y leon,castilla y leon,avila,2023,1,total,86.38
ES,07,09,castilla y leon,castilla y leon,burgos,2023,1,hotel 3 estrellas,74.81
ES,07,09,castilla y leon,castilla y leon,burgos,2023,1,hotel 4 estrellas,90.55
ES,07,09,castilla y leon,castilla y leon,burgos,2023,1,hotel 5 estrellas,96.18
ES,07,09,castilla y leon,castilla y leon,burgos,2023,1,total,78.45
ES,07,24,castilla y leon,castilla y leon,leon,2023,1,hotel 3 estrellas,91.51
ES,07,24,castilla y leon,castilla y leon,leon,2023,1,hotel 4 estrellas,87.91
ES,07,24,castilla y leon,castilla y leon,leon,2023,1,hotel 5 estrellas,92.15
ES,07,24,castilla y leon,castilla y leon,leon,2023,1,total,90.14
ES,07,34,castilla y leon,castilla y leon,palencia,2023,1,hotel 3 estrellas,83.75
ES,07,34,castilla y leon,castilla y leon,palencia,2023,1,hotel 4 estrellas,88.28
ES,07,34,castilla y leon,castilla y leon,palencia,2023,1,hotel 5 estrellas,92.15
