id_pais,id_ccaa,ccaa,ccaa_key,mes,categoria_alojamiento,valoraciones,precio_checkin_entre_semana,precio_checkin_fin_semana,periodo_antelacion
ES,01,andalucia,andalucia,1,alternativo,4.54,333.76,333.76,1 mes
ES,01,andalucia,andalucia,1,apartamento,4.67,140.99,140.99,1 mes
ES,01,andalucia,andalucia,1,casa entera,4.68,254.4,254.4,1 mes
ES,01,andalucia,andalucia,1,habitacion compartida,4.43,40.48,40.48,1 mes
ES,01,andalucia,andalucia,1,habitacion privada,4.54,122.73,122.73,1 mes
ES,02,aragon,aragon,1,alternativo,4.44,183.98,183.98,1 mes
ES,02,aragon,aragon,1,apartamento,4.67,145.95,145.95,1 mes
ES,02,aragon,aragon,1,casa entera,4.65,209.57,209.57,1 mes
ES,02,aragon,aragon,1,habitacion compartida,4.65,67.98,67.98,1 mes
ES,02,aragon,aragon,1,habitacion privada,4.32,91.1,91.1,1 mes
ES,05,canarias,canarias,1,alternativo,4.64,117.8,117.8,1 mes
ES,05,canarias,canarias,1,apartamento,4.71,138.42,138.42,1 mes
ES,05,canarias,canarias,1,casa entera,4.71,213.63,213.63,1 mes
ES,05,canarias,canarias,1,habitacion compartida,4.55,46.64,46.64,1 mes
ES,05,canarias,canarias,1,habitacion privada,4.64,111.58,111.58,1 mes
ES,06,cantabria,cantabria,1,alternativo,4.69,223.5,223.5,1 mes
ES,06,cantabria,cantabria,1,apartamento,4.68,555.13,555.13,1 mes
ES,06,cantabria,cantabria,1,casa entera,4.7,251.25,251.25,1 mes
ES,06,cantabria,cantabria,1,habitacion compartida,4.53,58.57,58.57,1 mes
ES,06,cantabria,cantabria,1,habitacion privada,4.61,114.68,114.68,1 mes
ES,08,castilla - la mancha,castilla - la mancha,1,alternativo,4.46,205.03,205.03,1 mes
ES,08,castilla - la mancha,castilla - la mancha,1,apartamento,4.71,143.56,143.56,1 mes
ES,08,castilla - la mancha,castilla - la mancha,1,casa entera,4.54,227.56,227.56,1 mes
ES,08,castilla - la mancha,castilla - la mancha,1,habitacion compartida,4.1,69.72,69.72,1 mes
ES,08,castilla - la mancha,castilla - la mancha,1,habitacion privada,4.23,140.4,140.4,1 mes
ES,07,castilla y leon,castilla y leon,1,alternativo,4.59,185.27,185.27,1 mes
ES,07,castilla y leon,castilla y leon,1,apartamento,4.69,112.14,112.14,1 mes
ES,07,castilla y leon,castilla y leon,1,casa entera,4.61,201.67,201.67,1 mes
