id_pais,id_provincia,gid_provincia,categoria,comunidad_autonoma,provincia,valoracion_por_categoria_promedio,valoracion_general_promedio,total_opiniones_categoria_promedio,provincia_nombre
ES,04,ES-04,comida y bebida,andalucia,almeria,5.0,4.19,6.0,almería
ES,11,ES-11,comida y bebida,andalucia,cadiz,4.57,4.26,47.0,cádiz
ES,14,ES-14,comida y bebida,andalucia,cordoba,4.97,4.29,16.0,córdoba
ES,18,ES-18,comida y bebida,andalucia,granada,4.81,4.37,771.0,granada
ES,21,ES-21,comida y bebida,andalucia,huelva,1.0,4.11,2.0,huelva
ES,23,ES-23,comida y bebida,andalucia,jaen,5.0,4.33,9.0,jaén
ES,29,ES-29,comida y bebida,andalucia,malaga,4.84,4.43,1395.0,málaga
ES,41,ES-41,comida y bebida,andalucia,sevilla,4.76,4.34,8170.0,sevilla
ES,22,ES-22,comida y bebida,aragon,huesca,4.6,4.25,40.0,huesca
ES,50,ES-50,comida y bebida,aragon,zaragoza,4.03,4.21,35.0,zaragoza
ES,35,ES-35,comida y bebida,canarias,las palmas,3.71,4.28,443.0,las palmas
ES,38,ES-38,comida y bebida,canarias,santa cruz de tenerife,4.31,4.26,72.0,santa cruz de tenerife
ES,39,ES-39,comida y bebida,cantabria,cantabria,4.65,4.27,26.0,cantabria
ES,02,ES-02,comida y bebida,castilla - la mancha,albacete,4.88,4.15,33.0,albacete
ES,13,ES-13,comida y bebida,castilla - la mancha,ciudad real,5.0,4.29,41.0,ciudad real
ES,16,ES-16,comida y bebida,castilla - la mancha,cuenca,4.68,4.19,102.0,cuenca
ES,19,ES-19,comida y bebida,castilla - la mancha,guadalajara,3.0,4.04,4.0,guadalajara
ES,45,ES-45,comida y bebida,castilla - la mancha,toledo,4.94,4.18,180.0,toledo
ES,05,ES-05,comida y bebida,castilla y leon,avila,4.72,4.23,20.0,ávila
ES,09,ES-09,comida y bebida,castilla y leon,burgos,4.9,4.28,158.0,burgos
ES,24,ES-24,comida y bebida,castilla y leon,leon,4.94,4.21,231.0,león
ES,37,ES-37,comida y bebida,castilla y leon,salamanca,4.84,4.17,54.0,salamanca
ES,40,ES-40,comida y bebida,castilla y leon,segovia,5.0,4.07,3.0,segovia
ES,42,ES-42,comida y bebida,castilla y leon,soria,4.5,3.97,4.0,soria
ES,47,ES-47,comida y bebida,castilla y leon,valladolid,4.44,4.06,252.0,valladolid
ES,08,ES-08,comida y bebida,cataluna,barcelona,4.67,4.05,3911.0,barcelona
ES,17,ES-17,comida y bebida,cataluna,girona,4.57,4.24,183.0,girona
ES,25,ES-25,comida y bebida,cataluna,lleida,4.81,4.27,19.0,lleida
ES,43,ES-43,comida y bebida,cataluna,tarragona,4.67,4.2,481.0,tarragona
ES,28,ES-28,comida y bebida,comunidad de madrid,madrid,4.71,4.1,5856.0,madrid
ES,31,ES-31,comida y bebida,comunidad foral de navarra,navarra,4.63,4.23,135.0,navarra
ES,03,ES-03,comida y bebida,comunitat valenciana,alicante/alacant,4.52,4.28,760.0,alicante/alacant
ES,46,ES-46,comida y bebida,comunitat valenciana,valencia/valencia,4.79,4.15,369.0,valencia/valència
ES,10,ES-10,comida y bebida,extremadura,caceres,4.5,4.33,6.0,cáceres
ES,15,ES-15,comida y bebida,galicia,a coruna,4.21,4.21,75.0,a coruña
ES,27,ES-27,comida y bebida,galicia,lugo,4.4,4.28,10.0,lugo
ES,36,ES-36,comida y bebida,galicia,pontevedra,4.41,4.17,237.0,pontevedra
ES,07,ES-07,comida y bebida,illes balears,illes balears,4.86,4.33,2196.0,illes balears
ES,26,ES-26,comida y bebida,la rioja,la rioja,4.62,4.31,110.0,la rioja
ES,01,ES-01,comida y bebida,pais vasco,araba/alava,4.37,4.41,303.0,araba/álava
ES,48,ES-48,comida y bebida,pais vasco,bizkaia,4.31,4.31,319.0,bizkaia
ES,20,ES-20,comida y bebida,pais vasco,gipuzkoa,4.44,4.41,1099.0,gipuzkoa
ES,33,ES-33,comida y bebida,principado de asturias,asturias,4.33,4.35,124.0,asturias
ES,30,ES-30,comida y bebida,region de murcia,murcia,3.99,4.2,320.0,murcia
ES,04,ES-04,compras,andalucia,almeria,4.23,4.19,2490.0,almería
ES,11,ES-11,compras,andalucia,cadiz,4.16,4.26,1319.0,cádiz
ES,14,ES-14,compras,andalucia,cordoba,4.28,4.29,1822.0,córdoba
ES,18,ES-18,compras,andalucia,granada,4.34,4.37,7661.0,granada
ES,21,ES-21,compras,andalucia,huelva,4.15,4.11,1395.0,huelva
ES,23,ES-23,compras,andalucia,jaen,4.55,4.33,484.0,jaén
ES,29,ES-29,compras,andalucia,malaga,4.36,4.43,19512.0,málaga
ES,41,ES-41,compras,andalucia,sevilla,3.84,4.34,7574.0,sevilla
ES,22,ES-22,compras,aragon,huesca,4.25,4.25,279.0,huesca
ES,44,ES-44,compras,aragon,teruel,4.16,4.28,129.0,teruel
ES,50,ES-50,compras,aragon,zaragoza,4.41,4.21,3119.0,zaragoza
ES,35,ES-35,compras,canarias,las palmas,3.9,4.28,20086.0,las palmas
ES,38,ES-38,compras,canarias,santa cruz de tenerife,4.07,4.26,9442.0,santa cruz de tenerife
ES,39,ES-39,compras,cantabria,cantabria,4.07,4.27,1328.0,cantabria
ES,02,ES-02,compras,castilla - la mancha,albacete,3.36,4.15,90.0,albacete
ES,13,ES-13,compras,castilla - la mancha,ciudad real,4.64,4.29,147.0,ciudad real
ES,16,ES-16,compras,castilla - la mancha,cuenca,4.52,4.19,59.0,cuenca
ES,19,ES-19,compras,castilla - la mancha,guadalajara,4.49,4.04,88.0,guadalajara
ES,45,ES-45,compras,castilla - la mancha,toledo,4.76,4.18,2638.0,toledo
ES,05,ES-05,compras,castilla y leon,avila,3.71,4.23,82.0,ávila
ES,09,ES-09,compras,castilla y leon,burgos,4.13,4.28,148.0,burgos
ES,24,ES-24,compras,castilla y leon,leon,4.31,4.21,389.0,león
ES,34,ES-34,compras,castilla y leon,palencia,4.38,4.35,146.0,palencia
ES,37,ES-37,compras,castilla y leon,salamanca,4.47,4.17,470.0,salamanca
ES,40,ES-40,compras,castilla y leon,segovia,4.57,4.07,395.0,segovia
ES,42,ES-42,compras,castilla y leon,soria,4.51,3.97,56.0,soria
ES,47,ES-47,compras,castilla y leon,valladolid,4.08,4.06,485.0,valladolid
ES,49,ES-49,compras,castilla y leon,zamora,4.36,4.17,242.0,zamora
ES,08,ES-08,compras,cataluna,barcelona,3.75,4.05,95381.0,barcelona
ES,17,ES-17,compras,cataluna,girona,4.09,4.24,3158.0,girona
ES,25,ES-25,compras,cataluna,lleida,4.4,4.27,233.0,lleida
ES,43,ES-43,compras,cataluna,tarragona,4.19,4.2,2200.0,tarragona
ES,28,ES-28,compras,comunidad de madrid,madrid,3.83,4.1,89796.0,madrid
ES,31,ES-31,compras,comunidad foral de navarra,navarra,4.29,4.23,798.0,navarra
ES,03,ES-03,compras,comunitat valenciana,alicante/alacant,4.22,4.28,12577.0,alicante/alacant
ES,12,ES-12,compras,comunitat valenciana,castellon/castello,4.41,4.2,773.0,castellón/castelló
