_id,mes,empresa,tipo_de_servicio,tipo_de_producto,trayecto,precio
1,2022-11,Iryo,Comercial,LD AV,Madrid-Barcelona,45.73000
2,2022-11,OUIGO,Comercial,LD AV,Madrid-Barcelona,40.85000
3,2022-11,OUIGO,Comercial,LD AV,Madrid-Valencia,25.08000
4,2022-11,Renfe-AVE,Comercial,LD AV,Madrid-Alicante,48.73000
5,2022-11,Renfe-AVE,Comercial,LD AV,Madrid-Barcelona,78.78000
6,2022-11,Renfe-AVE,Comercial,LD AV,Madrid-Málaga,67.77000
7,2022-11,Renfe-AVE,Comercial,LD AV,Madrid-Sevilla,66.82000
8,2022-11,Renfe-AVE,Comercial,LD AV,Madrid-Valencia,55.16000
9,2022-11,Renfe-AVLO,Comercial,LD AV,Madrid-Barcelona,49.31000
10,2022-11,Renfe-AVLO,Comercial,LD AV,Madrid-Valencia,30.23000
11,2022-11,Total,Comercial,LD AV,Madrid-Alicante,48.73000
12,2022-11,Total,Comercial,LD AV,Madrid-Barcelona,66.39000
13,2022-11,Total,Comercial,LD AV,Madrid-Málaga,67.77000
14,2022-11,Total,Comercial,LD AV,Madrid-Sevilla,66.82000
15,2022-11,Total,Comercial,LD AV,Madrid-Valencia,42.94000
16,2022-12,Iryo,Comercial,LD AV,Madrid-Barcelona,46.94000
17,2022-12,Iryo,Comercial,LD AV,Madrid-Valencia,25.84000
18,2022-12,OUIGO,Comercial,LD AV,Madrid-Barcelona,46.24000
19,2022-12,OUIGO,Comercial,LD AV,Madrid-Valencia,23.10000
20,2022-12,Renfe-AVE,Comercial,LD AV,Madrid-Alicante,54.36000
21,2022-12,Renfe-AVE,Comercial,LD AV,Madrid-Barcelona,80.63000
22,2022-12,Renfe-AVE,Comercial,LD AV,Madrid-Málaga,73.07000
23,2022-12,Renfe-AVE,Comercial,LD AV,Madrid-Sevilla,70.31000
24,2022-12,Renfe-AVE,Comercial,LD AV,Madrid-Valencia,49.78000
25,2022-12,Renfe-AVLO,Comercial,LD AV,Madrid-Barcelona,53.96000
26,2022-12,Renfe-AVLO,Comercial,LD AV,Madrid-Valencia,26.83000
27,2022-12,Total,Comercial,LD AV,Madrid-Alicante,54.36000
28,2022-12,Total,Comercial,LD AV,Madrid-Barcelona,64.17000
29,2022-12,Total,Comercial,LD AV,Madrid-Málaga,73.07000
30,2022-12,Total,Comercial,LD AV,Madrid-Sevilla,70.31000
31,2022-12,Total,Comercial,LD AV,Madrid-Valencia,38.08000
32,2023-01,Iryo,Comercial,LD AV,Madrid-Barcelona,30.52000
33,2023-01,Iryo,Comercial,LD AV,Madrid-Valencia,20.77000
34,2023-01,OUIGO,Comercial,LD AV,Madrid-Barcelona,30.49000
35,2023-01,OUIGO,Comercial,LD AV,Madrid-Valencia,20.59000
36,2023-01,Renfe-AVE,Comercial,LD AV,Madrid-Alicante,46.92000
37,2023-01,Renfe-AVE,Comercial,LD AV,Madrid-Barcelona,64.56000
38,2023-01,Renfe-AVE,Comercial,LD AV,Madrid-Málaga,57.67000
39,2023-01,Renfe-AVE,Comercial,LD AV,Madrid-Sevilla,58.74000
40,2023-01,Renfe-AVE,Comercial,LD AV,Madrid-Valencia,37.80000
41,2023-01,Renfe-AVLO,Comercial,LD AV,Madrid-Barcelona,37.06000
42,2023-01,Renfe-AVLO,Comercial,LD AV,Madrid-Valencia,22.86000
43,2023-01,Total,Comercial,LD AV,Madrid-Alicante,46.92000
44,2023-01,Total,Comercial,LD AV,Madrid-Barcelona,47.57000
45,2023-01,Total,Comercial,LD AV,Madrid-Málaga,57.67000
46,2023-01,Total,Comercial,LD AV,Madrid-Sevilla,58.74000
47,2023-01,Total,Comercial,LD AV,Madrid-Valencia,30.45000
48,2023-02,Iryo,Comercial,LD AV,Madrid-Barcelona,31.10000
49,2023-02,Iryo,Comercial,LD AV,Madrid-Valencia,20.60000
50,2023-02,OUIGO,Comercial,LD AV,Madrid-Barcelona,31.27000
51,2023-02,OUIGO,Comercial,LD AV,Madrid-Valencia,22.85000
52,2023-02,Renfe-AVE,Comercial,LD AV,Madrid-Alicante,48.69000
53,2023-02,Renfe-AVE,Comercial,LD AV,Madrid-Barcelona,67.23000
54,2023-02,Renfe-AVE,Comercial,LD AV,Madrid-Málaga,61.39000
55,2023-02,Renfe-AVE,Comercial,LD AV,Madrid-Sevilla,62.57000
56,2023-02,Renfe-AVE,Comercial,LD AV,Madrid-Valencia,34.71000
57,2023-02,Renfe-AVLO,Comercial,LD AV,Madrid-Barcelona,37.46000
58,2023-02,Renfe-AVLO,Comercial,LD AV,Madrid-Valencia,21.32000
59,2023-02,Total,Comercial,LD AV,Madrid-Alicante,48.69000
60,2023-02,Total,Comercial,LD AV,Madrid-Barcelona,49.22000
61,2023-02,Total,Comercial,LD AV,Madrid-Málaga,61.39000
62,2023-02,Total,Comercial,LD AV,Madrid-Sevilla,62.57000
63,2023-02,Total,Comercial,LD AV,Madrid-Valencia,28.35000
64,2023-03,Iryo,Comercial,LD AV,Madrid-Barcelona,32.34000
65,2023-03,Iryo,Comercial,LD AV,Madrid-Málaga,58.45000
66,2023-03,Iryo,Comercial,LD AV,Madrid-Sevilla,62.41000
67,2023-03,Iryo,Comercial,LD AV,Madrid-Valencia,21.02000
68,2023-03,OUIGO,Comercial,LD AV,Madrid-Barcelona,32.34000
69,2023-03,OUIGO,Comercial,LD AV,Madrid-Valencia,23.95000
70,2023-03,Renfe-AVE,Comercial,LD AV,Madrid-Alicante,52.18000
71,2023-03,Renfe-AVE,Comercial,LD AV,Madrid-Barcelona,64.34000
72,2023-03,Renfe-AVE,Comercial,LD AV,Madrid-Málaga,65.54000
73,2023-03,Renfe-AVE,Comercial,LD AV,Madrid-Sevilla,67.65000
74,2023-03,Renfe-AVE,Comercial,LD AV,Madrid-Valencia,42.02000
75,2023-03,Renfe-AVLO,Comercial,LD AV,Madrid-Alicante,28.09000
76,2023-03,Renfe-AVLO,Comercial,LD AV,Madrid-Barcelona,40.02000
77,2023-03,Renfe-AVLO,Comercial,LD AV,Madrid-Valencia,21.30000
78,2023-03,Total,Comercial,LD AV,Madrid-Alicante,51.77000
79,2023-03,Total,Comercial,LD AV,Madrid-Barcelona,47.75000
80,2023-03,Total,Comercial,LD AV,Madrid-Málaga,65.45000
81,2023-03,Total,Comercial,LD AV,Madrid-Sevilla,67.58000
82,2023-03,Total,Comercial,LD AV,Madrid-Valencia,31.29000
83,2023-04,Iryo,Comercial,LD AV,Madrid-Barcelona,40.31000
84,2023-04,Iryo,Comercial,LD AV,Madrid-Málaga,52.77000
85,2023-04,Iryo,Comercial,LD AV,Madrid-Sevilla,58.25000
86,2023-04,Iryo,Comercial,LD AV,Madrid-Valencia,23.46000
87,2023-04,OUIGO,Comercial,LD AV,Madrid-Alicante,24.26000
88,2023-04,OUIGO,Comercial,LD AV,Madrid-Barcelona,39.58000
89,2023-04,OUIGO,Comercial,LD AV,Madrid-Valencia,23.74000
90,2023-04,Renfe-AVE,Comercial,LD AV,Madrid-Alicante,55.17000
91,2023-04,Renfe-AVE,Comercial,LD AV,Madrid-Barcelona,68.46000
92,2023-04,Renfe-AVE,Comercial,LD AV,Madrid-Málaga,68.10000
93,2023-04,Renfe-AVE,Comercial,LD AV,Madrid-Sevilla,75.77000
94,2023-04,Renfe-AVE,Comercial,LD AV,Madrid-Valencia,38.86000
95,2023-04,Renfe-AVLO,Comercial,LD AV,Madrid-Alicante,32.76000
96,2023-04,Renfe-AVLO,Comercial,LD AV,Madrid-Barcelona,46.62000
