CATEGORIA;CCAA;PROVINCIA;VALORACION_POR_CATEGORIA;TOTAL_OPINIONES_CATEGORIA;VALORACION_GENERAL
Activo Naturaleza;Andalucía;Almería;4,31;40296;4,19
Activo Naturaleza;Andalucía;Cádiz;4,38;16117;4,26
Activo Naturaleza;Andalucía;Córdoba;4,41;5820;4,29
Activo Naturaleza;Andalucía;Granada;4,57;27060;4,37
Activo Naturaleza;Andalucía;Huelva;4,19;12050;4,11
Activo Naturaleza;Andalucía;Jaén;4,63;6976;4,33
Activo Naturaleza;Andalucía;Málaga;4,47;167062;4,43
Activo Naturaleza;Andalucía;Sevilla;4,38;12722;4,34
Activo Naturaleza;Aragón;Huesca;4,58;24202;4,25
Activo Naturaleza;Aragón;Teruel;4,45;6055;4,28
Activo Naturaleza;Aragón;Zaragoza;4,52;4502;4,21
Activo Naturaleza;Canarias;Las Palmas;4,46;262458;4,28
Activo Naturaleza;Canarias;Santa Cruz de Tenerife;4,36;301135;4,26
Activo Naturaleza;Cantabria;Cantabria;4,44;44284;4,27
Activo Naturaleza;Castilla - La Mancha;Albacete;4,49;5074;4,15
Activo Naturaleza;Castilla - La Mancha;Ciudad Real;4,45;2229;4,29
Activo Naturaleza;Castilla - La Mancha;Cuenca;4,41;4794;4,19
Activo Naturaleza;Castilla - La Mancha;Guadalajara;4,35;2411;4,04
Activo Naturaleza;Castilla - La Mancha;Toledo;4,4;3277;4,18
Activo Naturaleza;Castilla y León;Burgos;4,54;9268;4,28
Activo Naturaleza;Castilla y León;León;4,54;7443;4,21
Activo Naturaleza;Castilla y León;Palencia;4,29;627;4,35
Activo Naturaleza;Castilla y León;Salamanca;4,48;3347;4,17
Activo Naturaleza;Castilla y León;Segovia;4,26;4178;4,07
Activo Naturaleza;Castilla y León;Soria;4,1;2210;3,97
Activo Naturaleza;Castilla y León;Valladolid;4,52;12994;4,06
Activo Naturaleza;Castilla y León;Zamora;4,43;1021;4,17
Activo Naturaleza;Castilla y León;Ávila;4,48;2948;4,23
Activo Naturaleza;Cataluña;Barcelona;4,35;111530;4,05
Activo Naturaleza;Cataluña;Girona;4,45;87855;4,24
Activo Naturaleza;Cataluña;Lleida;4,55;15996;4,27
Activo Naturaleza;Cataluña;Tarragona;4,45;50031;4,2
Activo Naturaleza;Ceuta;Ceuta;3,67;7;3,67
Activo Naturaleza;Comunidad Foral de Navarra;Navarra;4,57;11714;4,23
Activo Naturaleza;Comunidad de Madrid;Madrid;4,24;30240;4,1
Activo Naturaleza;Comunitat Valenciana;Alicante/Alacant;4,46;132474;4,28
Activo Naturaleza;Comunitat Valenciana;Castellón/Castelló;4,43;11318;4,2
Activo Naturaleza;Comunitat Valenciana;Valencia/València;4,22;149069;4,15
Activo Naturaleza;Extremadura;Badajoz;4,38;1666;4,29
Activo Naturaleza;Extremadura;Cáceres;4,55;5372;4,33
Activo Naturaleza;Galicia;A Coruña;4,43;21554;4,21
Activo Naturaleza;Galicia;Lugo;4,59;15058;4,28
Activo Naturaleza;Galicia;Ourense;4,51;3532;4,15
Activo Naturaleza;Galicia;Pontevedra;4,35;24016;4,17
Activo Naturaleza;Illes Balears;Illes Balears;4,44;321295;4,33
Activo Naturaleza;La Rioja;La Rioja;4,61;35415;4,31
