time,temperature_2m_mean,precipitation_sum
2023-01-01,13.6,4.5
2023-01-02,13.0,2.0
2023-01-03,10.8,0.0
2023-01-04,12.6,0.0
2023-01-05,12.6,0.0
2023-01-06,10.6,0.0
2023-01-07,11.5,1.4
2023-01-08,14.9,5.7
2023-01-09,14.7,2.2
2023-01-10,12.1,0.0
2023-01-11,12.5,1.9
2023-01-12,12.4,0.0
2023-01-13,10.0,0.0
2023-01-14,10.3,0.0
2023-01-15,10.4,0.0
2023-01-16,9.5,0.6
2023-01-17,12.0,1.1
2023-01-18,8.7,0.0
2023-01-19,7.7,0.0
2023-01-20,12.2,0.5
2023-01-21,12.4,0.8
2023-01-22,8.9,0.0
2023-01-23,8.0,0.0
2023-01-24,6.6,0.0
2023-01-25,6.9,0.0
2023-01-26,6.0,0.0
2023-01-27,7.6,0.0
2023-01-28,7.0,0.0
2023-01-29,7.2,0.0
2023-01-30,8.1,0.0
2023-01-31,9.1,0.0
2023-02-01,9.0,0.0
2023-02-02,9.3,0.0
2023-02-03,10.7,0.0
2023-02-04,11.2,0.0
2023-02-05,12.2,0.0
2023-02-06,10.9,0.0
2023-02-07,9.9,3.6
2023-02-08,8.7,7.6
2023-02-09,11.8,0.1
2023-02-10,10.1,0.0
2023-02-11,10.6,0.0
2023-02-12,10.8,2.5
2023-02-13,12.1,0.0
2023-02-14,12.9,0.0
2023-02-15,13.2,0.0
2023-02-16,13.1,0.0
2023-02-17,14.7,0.0
2023-02-18,16.0,0.0
2023-02-19,15.4,0.1
2023-02-20,14.9,1.2
2023-02-21,14.6,0.0
2023-02-22,13.3,0.0
2023-02-23,10.6,0.0
2023-02-24,8.6,0.0
2023-02-25,8.3,0.1
2023-02-26,10.5,0.0
2023-02-27,9.9,0.0
2023-02-28,8.7,0.0
2023-03-01,7.8,0.0
2023-03-02,8.6,0.0
2023-03-03,10.5,0.0
2023-03-04,12.7,0.0
2023-03-05,10.9,4.4
2023-03-06,10.9,4.6
2023-03-07,13.6,1.8
2023-03-08,15.9,1.2
2023-03-09,15.8,21.8
2023-03-10,15.4,0.0
2023-03-11,15.8,0.0
2023-03-12,16.6,0.0
2023-03-13,15.8,0.0
2023-03-14,13.6,0.0
2023-03-15,16.7,0.0
2023-03-16,15.7,0.0
2023-03-17,14.8,1.0
2023-03-18,13.8,0.2
2023-03-19,15.8,0.0
2023-03-20,16.5,0.0
2023-03-21,17.2,0.0
2023-03-22,17.7,0.0
2023-03-23,17.3,0.0
2023-03-24,15.8,0.0
2023-03-25,19.0,0.0
2023-03-26,17.8,0.0
2023-03-27,19.3,0.0
2023-03-28,20.2,0.0
2023-03-29,19.6,0.0
2023-03-30,19.5,0.0
2023-03-31,17.5,0.0
2023-04-01,17.6,0.0
2023-04-02,18.7,0.0
