AÑO;MES;PAIS_ORIGEN;CIUDAD_DESTINO;TIPO_ORIGEN;ASIENTOS;DISTANCIA_MEDIA;VARIACION_INTERANUAL_ASIENTOS
2023;1;Albania;Barcelona;Internacional;4140;1467,0;51,87
2023;1;Albania;Madrid;Internacional;1806;1950,0;-8,32
2023;1;Alemania;Alacant/Alicante;Internacional;17213;1551,91;12,04
2023;1;Alemania;Barcelona;Internacional;123377;1208,18;51,15
2023;1;Alemania;Bilbao;Internacional;22752;1186,67;19,17
2023;1;Alemania;Fuerteventura;Internacional;73471;2778,17;6,37
2023;1;Alemania;Ibiza;Internacional;648;1441,0;-18,18
2023;1;Alemania;Jerez de la Frontera;Internacional;1224;1898,67;0,0
2023;1;Alemania;Lanzarote;Internacional;33430;2987,91;9,5
2023;1;Alemania;Madrid;Internacional;120682;1557,53;9,94
2023;1;Alemania;Mallorca;Internacional;101218;1368,67;19,54
2023;1;Alemania;Málaga;Internacional;33897;1840,11;5,95
2023;1;Alemania;Oviedo;Internacional;1890;1272,0;0,0
2023;1;Alemania;Palmas de Gran Canaria, Las;Internacional;97555;3185,83;5,63
2023;1;Alemania;Santa Cruz de la Palma;Internacional;7330;2944,11;0,0
2023;1;Alemania;Santiago de Compostela;Internacional;1701;1554,0;0,0
2023;1;Alemania;Sevilla;Internacional;9436;1805,86;49,19
2023;1;Alemania;Tenerife;Internacional;94321;3191,46;21,06
2023;1;Alemania;València;Internacional;23058;1477,55;10,51
2023;1;Angola;Madrid;Internacional;4165;5748,0;0,0
2023;1;Arabia Saudí;Barcelona;Internacional;2682;4087,0;603,94
2023;1;Arabia Saudí;Madrid;Internacional;5423;4514,0;7,05
2023;1;Argelia;Barcelona;Internacional;7111;519,0;3,67
2023;1;Argelia;Madrid;Internacional;1530;1157,33;72,88
2023;1;Argentina;Barcelona;Internacional;8740;10475,0;78,51
2023;1;Argentina;Madrid;Internacional;47436;9930,67;72,71
2023;1;Austria;Alacant/Alicante;Internacional;2601;1759,0;11,15
2023;1;Austria;Barcelona;Internacional;24306;1369,0;70,17
2023;1;Austria;Fuerteventura;Internacional;2541;3398,0;43,56
2023;1;Austria;Lanzarote;Internacional;936;3342,0;4,0
2023;1;Austria;Madrid;Internacional;22164;1804,0;47,58
2023;1;Austria;Mallorca;Internacional;8691;1456,0;59,82
2023;1;Austria;Málaga;Internacional;8130;2133,0;10,48
2023;1;Austria;Palmas de Gran Canaria, Las;Internacional;4390;3480,0;-33,67
2023;1;Austria;Santander;Internacional;1701;1657,0;0,0
2023;1;Austria;Sevilla;Internacional;1647;2170,0;-8,5
2023;1;Austria;Tenerife;Internacional;9021;3560,8;24,88
2023;1;Austria;València;Internacional;3529;1664,0;-1,97
2023;1;Austria;Zaragoza;Internacional;1656;1556,0;2,22
2023;1;Bolivia;Madrid;Internacional;10111;8912,0;23,55
2023;1;Brasil;Barcelona;Internacional;3918;8759,0;4,29
2023;1;Brasil;Madrid;Internacional;36505;8038,2;41,66
2023;1;Bulgaria;Alacant/Alicante;Internacional;1785;2076,0;98,33
2023;1;Bulgaria;Barcelona;Internacional;8070;1762,0;37,46
2023;1;Bulgaria;Madrid;Internacional;7505;2245,0;52,57
2023;1;Bulgaria;Mallorca;Internacional;864;1759,0;118,18
2023;1;Bulgaria;Málaga;Internacional;2684;1586,5;1391,11
2023;1;Bulgaria;València;Internacional;2616;2024,0;12,27
2023;1;Bélgica;Alacant/Alicante;Internacional;32820;1444,64;26,43
2023;1;Bélgica;Barcelona;Internacional;31787;1077,44;33,94
2023;1;Bélgica;Bilbao;Internacional;3658;1010,0;88,17
2023;1;Bélgica;Castelló de la Plana;Internacional;1701;1187,0;0,0
2023;1;Bélgica;Fuerteventura;Internacional;3426;1035,33;262,54
2023;1;Bélgica;Lanzarote;Internacional;6039;2854,33;13,56
2023;1;Bélgica;Madrid;Internacional;49451;1307,18;14,8
2023;1;Bélgica;Mallorca;Internacional;3141;1218,0;39,04
2023;1;Bélgica;Murcia;Internacional;560;1534,5;-59,42
2023;1;Bélgica;Málaga;Internacional;28241;1630,21;11,64
2023;1;Bélgica;Oviedo;Internacional;1890;1100,0;0,0
2023;1;Bélgica;Palmas de Gran Canaria, Las;Internacional;12928;2554,5;1,88
2023;1;Bélgica;Santa Cruz de la Palma;Internacional;756;3094,0;0,0
2023;1;Bélgica;Santander;Internacional;2497;1001,0;-5,63
2023;1;Bélgica;Santiago de Compostela;Internacional;1512;1287,0;0,0
2023;1;Bélgica;Sevilla;Internacional;4914;1664,0;30,0
2023;1;Bélgica;Tenerife;Internacional;28607;2350,45;34,04
2023;1;Bélgica;València;Internacional;12393;1305,2;33,1
2023;1;Bélgica;Vitoria-Gasteiz;Internacional;1512;1002,0;0,0
2023;1;Bélgica;Zaragoza;Internacional;1323;1063,0;-22,22
