AÑO;MES;PAIS_ORIGEN;CIUDAD_DESTINO;TIPO_ORIGEN;PASAJEROS;VARIACION_INTERANUAL
2023;1;Albania;Barcelona;Internacional;3654;83,07
2023;1;Albania;Madrid;Internacional;1614;11,93
2023;1;Alemania;Alacant/Alicante;Internacional;15223;25,27
2023;1;Alemania;Barcelona;Internacional;99463;77,92
2023;1;Alemania;Bilbao;Internacional;17076;41,91
2023;1;Alemania;Fuerteventura;Internacional;50939;44,78
2023;1;Alemania;Ibiza;Internacional;447;-8,78
2023;1;Alemania;Jerez de la Frontera;Internacional;687;0,0
2023;1;Alemania;Lanzarote;Internacional;23749;67,02
2023;1;Alemania;Madrid;Internacional;94126;34,22
2023;1;Alemania;Mallorca;Internacional;83138;39,41
2023;1;Alemania;Málaga;Internacional;28806;19,42
2023;1;Alemania;Oviedo;Internacional;1670;0,0
2023;1;Alemania;Palmas de Gran Canaria, Las;Internacional;70509;36,64
2023;1;Alemania;Santa Cruz de la Palma;Internacional;3910;0,0
2023;1;Alemania;Santiago de Compostela;Internacional;1503;0,0
2023;1;Alemania;Sevilla;Internacional;7430;83,41
2023;1;Alemania;Tenerife;Internacional;73085;51,66
2023;1;Alemania;València;Internacional;18324;28,91
2023;1;Angola;Madrid;Internacional;2739;0,0
2023;1;Arabia Saudí;Barcelona;Internacional;1647;962,58
2023;1;Arabia Saudí;Madrid;Internacional;3773;64,19
2023;1;Argelia;Barcelona;Internacional;4173;114,44
2023;1;Argelia;Madrid;Internacional;822;78,7
2023;1;Argentina;Barcelona;Internacional;7371;77,7
2023;1;Argentina;Madrid;Internacional;33830;63,07
2023;1;Austria;Alacant/Alicante;Internacional;2321;21,65
2023;1;Austria;Barcelona;Internacional;19534;108,25
2023;1;Austria;Fuerteventura;Internacional;2182;72,49
2023;1;Austria;Lanzarote;Internacional;831;12,3
2023;1;Austria;Madrid;Internacional;17879;68,88
2023;1;Austria;Mallorca;Internacional;6907;64,77
2023;1;Austria;Málaga;Internacional;6590;19,82
2023;1;Austria;Palmas de Gran Canaria, Las;Internacional;3642;-21,76
2023;1;Austria;Santander;Internacional;1413;13,77
2023;1;Austria;Sevilla;Internacional;1446;4,03
2023;1;Austria;Tenerife;Internacional;7888;37,4
2023;1;Austria;València;Internacional;2604;-4,12
2023;1;Austria;Zaragoza;Internacional;1413;19,85
2023;1;Bolivia;Madrid;Internacional;6164;334,39
2023;1;Brasil;Barcelona;Internacional;2745;50,41
2023;1;Brasil;Madrid;Internacional;30050;69,36
2023;1;Bulgaria;Alacant/Alicante;Internacional;1601;106,58
2023;1;Bulgaria;Barcelona;Internacional;7152;46,5
2023;1;Bulgaria;Madrid;Internacional;6029;70,5
2023;1;Bulgaria;Mallorca;Internacional;434;366,67
2023;1;Bulgaria;Málaga;Internacional;1801;1683,17
2023;1;Bulgaria;València;Internacional;2289;16,55
2023;1;Bélgica;Alacant/Alicante;Internacional;27777;82,01
2023;1;Bélgica;Barcelona;Internacional;26987;52,33
2023;1;Bélgica;Bilbao;Internacional;2184;146,78
2023;1;Bélgica;Castelló de la Plana;Internacional;1485;0,0
2023;1;Bélgica;Fuerteventura;Internacional;1626;101,99
2023;1;Bélgica;Lanzarote;Internacional;4711;50,18
2023;1;Bélgica;Madrid;Internacional;40191;37,41
2023;1;Bélgica;Mallorca;Internacional;2767;51,7
2023;1;Bélgica;Murcia;Internacional;538;-30,76
2023;1;Bélgica;Málaga;Internacional;22493;27,29
2023;1;Bélgica;Oviedo;Internacional;1690;0,0
2023;1;Bélgica;Palmas de Gran Canaria, Las;Internacional;10099;24,62
2023;1;Bélgica;Santa Cruz de la Palma;Internacional;460;0,0
2023;1;Bélgica;Santander;Internacional;2172;15,78
2023;1;Bélgica;Santiago de Compostela;Internacional;1336;0,0
2023;1;Bélgica;Sevilla;Internacional;4483;57,85
2023;1;Bélgica;Tenerife;Internacional;21042;31,25
2023;1;Bélgica;València;Internacional;10890;49,34
2023;1;Bélgica;Vitoria-Gasteiz;Internacional;1336;0,0
2023;1;Bélgica;Zaragoza;Internacional;1204;-3,06
2023;1;Cabo Verde;Palmas de Gran Canaria, Las;Internacional;2887;334,79
2023;1;Canadá;Málaga;Internacional;1423;164,01
2023;1;Chile;Barcelona;Internacional;3354;0,0
2023;1;Chile;Madrid;Internacional;16209;32,96
2023;1;China;Madrid;Internacional;3156;26200,0
2023;1;Colombia;Barcelona;Internacional;5829;22,9
2023;1;Colombia;Madrid;Internacional;57236;48,75
2023;1;Corea;Barcelona;Internacional;4628;0,0
2023;1;Costa Rica;Madrid;Internacional;10520;26,32
2023;1;Croacia;Barcelona;Internacional;429;36,19
2023;1;Croacia;Málaga;Internacional;1503;-2,4
2023;1;Cuba;Madrid;Internacional;18498;177,79
2023;1;Dinamarca;Alacant/Alicante;Internacional;8638;30,58
2023;1;Dinamarca;Barcelona;Internacional;13235;87,25
2023;1;Dinamarca;Bilbao;Internacional;1823;0,0
2023;1;Dinamarca;Fuerteventura;Internacional;732;-34,58
2023;1;Dinamarca;Lanzarote;Internacional;532;-47,69
2023;1;Dinamarca;Madrid;Internacional;11035;63,94
2023;1;Dinamarca;Mallorca;Internacional;864;-38,55
2023;1;Dinamarca;Málaga;Internacional;19531;20,24
2023;1;Dinamarca;Palmas de Gran Canaria, Las;Internacional;14849;20,29
2023;1;Dinamarca;Sevilla;Internacional;1557;253,06
2023;1;Dinamarca;Tenerife;Internacional;9809;64,06
2023;1;Ecuador;Madrid;Internacional;15442;45,45
2023;1;Egipto;Badajoz;Internacional;57;0,0
2023;1;Egipto;Barcelona;Internacional;4178;444,72
2023;1;Egipto;Bilbao;Internacional;394;0,0
2023;1;Egipto;Madrid;Internacional;4255;147,53
2023;1;Egipto;Mallorca;Internacional;79;0,0
2023;1;Egipto;Murcia;Internacional;98;0,0
2023;1;Egipto;Málaga;Internacional;755;0,0
2023;1;Egipto;Palmas de Gran Canaria, Las;Internacional;118;0,0
2023;1;Egipto;Santiago de Compostela;Internacional;73;0,0
2023;1;Egipto;Sevilla;Internacional;85;0,0
2023;1;Egipto;Valladolid;Internacional;116;0,0
2023;1;Egipto;València;Internacional;695;0,0
2023;1;Egipto;Vitoria-Gasteiz;Internacional;73;0,0
2023;1;El Salvador;Madrid;Internacional;7547;64,07
2023;1;Emiratos Árabes Unidos;Barcelona;Internacional;21992;69,95
