AÑO;MES;CATEGORIA_ALOJAMIENTO;CCAA;PROVINCIA;PERIODO_ANTELACION;PRECIO_CHECK-IN_ENTRE_SEMANA;PRECIO_CHECK-IN_FIN_SEMANA
2023;1;Hotel 3 Estrellas;Andalucía;Almería;1 Mes;74,0;76,0
2023;1;Hotel 3 Estrellas;Andalucía;Cádiz;1 Mes;64,0;70,0
2023;1;Hotel 3 Estrellas;Andalucía;Córdoba;1 Mes;65,0;77,0
2023;1;Hotel 3 Estrellas;Andalucía;Granada;1 Mes;74,0;94,0
2023;1;Hotel 3 Estrellas;Andalucía;Huelva;1 Mes;68,0;78,0
2023;1;Hotel 3 Estrellas;Andalucía;Jaén;1 Mes;61,0;68,0
2023;1;Hotel 3 Estrellas;Andalucía;Málaga;1 Mes;78,0;85,0
2023;1;Hotel 3 Estrellas;Andalucía;Sevilla;1 Mes;85,0;100,0
2023;1;Hotel 3 Estrellas;Aragón;Huesca;1 Mes;95,0;114,0
2023;1;Hotel 3 Estrellas;Aragón;Teruel;1 Mes;82,0;89,0
2023;1;Hotel 3 Estrellas;Aragón;Zaragoza;1 Mes;66,0;70,0
2023;1;Hotel 3 Estrellas;Canarias;Las Palmas;1 Mes;118,0;124,0
2023;1;Hotel 3 Estrellas;Canarias;Santa Cruz de Tenerife;1 Mes;98,0;97,0
2023;1;Hotel 3 Estrellas;Cantabria;Cantabria;1 Mes;68,0;74,0
2023;1;Hotel 3 Estrellas;Castilla - La Mancha;Albacete;1 Mes;62,0;73,0
2023;1;Hotel 3 Estrellas;Castilla - La Mancha;Ciudad Real;1 Mes;69,0;73,0
2023;1;Hotel 3 Estrellas;Castilla - La Mancha;Cuenca;1 Mes;66,0;89,0
2023;1;Hotel 3 Estrellas;Castilla - La Mancha;Guadalajara;1 Mes;69,0;77,0
2023;1;Hotel 3 Estrellas;Castilla - La Mancha;Toledo;1 Mes;73,0;85,0
2023;1;Hotel 3 Estrellas;Castilla y León;Burgos;1 Mes;61,0;64,0
2023;1;Hotel 3 Estrellas;Castilla y León;León;1 Mes;57,0;72,0
2023;1;Hotel 3 Estrellas;Castilla y León;Palencia;1 Mes;61,0;62,0
2023;1;Hotel 3 Estrellas;Castilla y León;Salamanca;1 Mes;60,0;69,0
2023;1;Hotel 3 Estrellas;Castilla y León;Segovia;1 Mes;61,0;99,0
2023;1;Hotel 3 Estrellas;Castilla y León;Soria;1 Mes;66,0;71,0
2023;1;Hotel 3 Estrellas;Castilla y León;Valladolid;1 Mes;69,0;75,0
2023;1;Hotel 3 Estrellas;Castilla y León;Zamora;1 Mes;97,0;94,0
2023;1;Hotel 3 Estrellas;Castilla y León;Ávila;1 Mes;60,0;68,0
2023;1;Hotel 3 Estrellas;Cataluña;Barcelona;1 Mes;105,0;113,0
2023;1;Hotel 3 Estrellas;Cataluña;Girona;1 Mes;100,0;110,0
2023;1;Hotel 3 Estrellas;Cataluña;Lleida;1 Mes;91,0;100,0
2023;1;Hotel 3 Estrellas;Cataluña;Tarragona;1 Mes;75,0;80,0
2023;1;Hotel 3 Estrellas;Comunidad Foral de Navarra;Navarra;1 Mes;74,0;77,0
2023;1;Hotel 3 Estrellas;Comunidad de Madrid;Madrid;1 Mes;98,0;115,0
2023;1;Hotel 3 Estrellas;Comunitat Valenciana;Alicante/Alacant;1 Mes;77,0;84,0
2023;1;Hotel 3 Estrellas;Comunitat Valenciana;Castellón/Castelló;1 Mes;66,0;71,0
2023;1;Hotel 3 Estrellas;Comunitat Valenciana;Valencia/València;1 Mes;81,0;96,0
2023;1;Hotel 3 Estrellas;Extremadura;Badajoz;1 Mes;65,0;67,0
2023;1;Hotel 3 Estrellas;Extremadura;Cáceres;1 Mes;91,0;96,0
2023;1;Hotel 3 Estrellas;Galicia;A Coruña;1 Mes;51,0;57,0
2023;1;Hotel 3 Estrellas;Galicia;Lugo;1 Mes;63,0;62,0
2023;1;Hotel 3 Estrellas;Galicia;Ourense;1 Mes;;
2023;1;Hotel 3 Estrellas;Galicia;Pontevedra;1 Mes;62,0;64,0
2023;1;Hotel 3 Estrellas;Illes Balears;Illes Balears;1 Mes;102,0;104,0
2023;1;Hotel 3 Estrellas;La Rioja;La Rioja;1 Mes;69,0;88,0
2023;1;Hotel 3 Estrellas;País Vasco;Araba/Álava;1 Mes;72,0;73,0
2023;1;Hotel 3 Estrellas;País Vasco;Bizkaia;1 Mes;69,0;79,0
2023;1;Hotel 3 Estrellas;País Vasco;Gipuzkoa;1 Mes;81,0;94,0
2023;1;Hotel 3 Estrellas;Principado de Asturias;Asturias;1 Mes;60,0;64,0
2023;1;Hotel 3 Estrellas;Región de Murcia;Murcia;1 Mes;64,0;67,0
2023;1;Hotel 4 Estrellas;Andalucía;Almería;1 Mes;72,0;77,0
2023;1;Hotel 4 Estrellas;Andalucía;Cádiz;1 Mes;74,0;80,0
2023;1;Hotel 4 Estrellas;Andalucía;Córdoba;1 Mes;83,0;97,0
2023;1;Hotel 4 Estrellas;Andalucía;Granada;1 Mes;102,0;117,0
2023;1;Hotel 4 Estrellas;Andalucía;Huelva;1 Mes;83,0;101,0
2023;1;Hotel 4 Estrellas;Andalucía;Jaén;1 Mes;75,0;86,0
2023;1;Hotel 4 Estrellas;Andalucía;Málaga;1 Mes;104,0;114,0
2023;1;Hotel 4 Estrellas;Andalucía;Sevilla;1 Mes;96,0;113,0
2023;1;Hotel 4 Estrellas;Aragón;Huesca;1 Mes;103,0;111,0
2023;1;Hotel 4 Estrellas;Aragón;Teruel;1 Mes;88,0;102,0
2023;1;Hotel 4 Estrellas;Aragón;Zaragoza;1 Mes;78,0;81,0
2023;1;Hotel 4 Estrellas;Canarias;Las Palmas;1 Mes;160,0;164,0
2023;1;Hotel 4 Estrellas;Canarias;Santa Cruz de Tenerife;1 Mes;148,0;149,0
2023;1;Hotel 4 Estrellas;Cantabria;Cantabria;1 Mes;66,0;72,0
2023;1;Hotel 4 Estrellas;Castilla - La Mancha;Albacete;1 Mes;83,0;86,0
2023;1;Hotel 4 Estrellas;Castilla - La Mancha;Ciudad Real;1 Mes;76,0;87,0
2023;1;Hotel 4 Estrellas;Castilla - La Mancha;Cuenca;1 Mes;80,0;115,0
2023;1;Hotel 4 Estrellas;Castilla - La Mancha;Guadalajara;1 Mes;83,0;87,0
2023;1;Hotel 4 Estrellas;Castilla - La Mancha;Toledo;1 Mes;74,0;99,0
2023;1;Hotel 4 Estrellas;Castilla y León;Burgos;1 Mes;82,0;82,0
2023;1;Hotel 4 Estrellas;Castilla y León;León;1 Mes;67,0;77,0
2023;1;Hotel 4 Estrellas;Castilla y León;Palencia;1 Mes;67,0;72,0
