AÑO;MES;CCAA;TIPO_VIVIENDA;VIVIENDAS_TURISTICAS;PLAZAS;VALORACIONES;PLAZAS_POR_VIVIENDA_TURISTICA;PORCENTAJE_VIVIENDAS_TURISTICAS;PRECIO
2023;1;Andalucía;Alternativo;822;3275;4,72;3,98;0,02;216,42
2023;1;Andalucía;Apartamento;1617;6011;4,7;3,72;0,03;149,06
2023;1;Andalucía;Casa entera;55726;291513;4,65;5,23;1,19;290,1
2023;1;Andalucía;Habitación compartida;48;132;4,68;2,75;0,0;36,19
2023;1;Andalucía;Habitación privada;4606;12825;4,66;2,78;0,1;114,73
2023;1;Andalucía;No aplica;0;0;;;0,0;
2023;1;Andalucía;Otros;7;8;4,7;1,14;0,0;140,29
2023;1;Aragón;Alternativo;42;150;4,74;3,57;0,01;179,33
2023;1;Aragón;Apartamento;109;429;4,69;3,94;0,01;147,23
2023;1;Aragón;Casa entera;3091;17390;4,59;5,63;0,38;215,81
2023;1;Aragón;Habitación compartida;1;1;4,9;1,0;0,0;60,0
2023;1;Aragón;Habitación privada;433;1403;4,53;3,24;0,05;89,73
2023;1;Aragón;No aplica;0;0;;;0,0;
2023;1;Canarias;Alternativo;898;3101;4,73;3,45;0,08;116,24
2023;1;Canarias;Apartamento;803;2618;4,71;3,26;0,07;138,77
2023;1;Canarias;Casa entera;33134;149609;4,71;4,52;3,04;251,95
2023;1;Canarias;Habitación compartida;151;432;4,71;2,86;0,01;51,09
2023;1;Canarias;Habitación privada;2492;6331;4,69;2,54;0,23;112,38
2023;1;Canarias;No aplica;0;0;;;0,0;
2023;1;Canarias;Otros;10;13;4,76;1,3;0,0;98,8
2023;1;Cantabria;Alternativo;158;729;4,76;4,61;0,04;225,07
2023;1;Cantabria;Apartamento;158;577;4,68;3,65;0,04;488,08
2023;1;Cantabria;Casa entera;4928;26514;4,68;5,38;1,29;274,87
2023;1;Cantabria;Habitación compartida;8;38;4,74;4,75;0,0;45,0
2023;1;Cantabria;Habitación privada;683;1818;4,72;2,66;0,18;122,36
2023;1;Cantabria;No aplica;0;0;;;0,0;
2023;1;Cantabria;Otros;1;11;4,9;11,0;0,0;303,0
2023;1;Castilla - La Mancha;Alternativo;140;624;4,71;4,46;0,01;195,81
2023;1;Castilla - La Mancha;Apartamento;114;408;4,75;3,58;0,01;144,27
2023;1;Castilla - La Mancha;Casa entera;2832;18724;4,44;6,61;0,22;220,91
2023;1;Castilla - La Mancha;Habitación compartida;1;5;4,9;5,0;0,0;72,0
2023;1;Castilla - La Mancha;Habitación privada;571;1887;4,49;3,3;0,04;140,86
2023;1;Castilla - La Mancha;No aplica;0;0;;;0,0;
2023;1;Castilla - La Mancha;Otros;1;4;4,76;4,0;0,0;168,0
2023;1;Castilla y León;Alternativo;92;394;4,77;4,28;0,01;174,72
2023;1;Castilla y León;Apartamento;150;536;4,73;3,57;0,01;120,39
2023;1;Castilla y León;Casa entera;4849;30551;4,51;6,3;0,28;197,08
2023;1;Castilla y León;Habitación compartida;9;25;4,68;2,78;0,0;35,22
2023;1;Castilla y León;Habitación privada;804;2588;4,65;3,22;0,05;83,61
2023;1;Castilla y León;No aplica;0;0;;;0,0;
2023;1;Castilla y León;Otros;4;11;4,63;2,75;0,0;95,0
2023;1;Cataluña;Alternativo;606;2857;4,68;4,71;0,02;203,0
2023;1;Cataluña;Apartamento;931;3824;4,64;4,11;0,02;175,05
2023;1;Cataluña;Casa entera;36828;217012;4,58;5,89;0,94;312,34
2023;1;Cataluña;Habitación compartida;34;87;4,36;2,56;0,0;50,74
2023;1;Cataluña;Habitación privada;4968;13764;4,61;2,77;0,13;107,1
2023;1;Cataluña;No aplica;0;0;;;0,0;
2023;1;Cataluña;Otros;5;4;4,65;0,8;0,0;240,6
2023;1;Ceuta;Alternativo;1;4;4,43;4,0;0,0;76,0
2023;1;Ceuta;Casa entera;27;116;3,19;4,3;0,1;994,74
2023;1;Ceuta;Habitación privada;8;30;3,87;3,75;0,03;60,63
2023;1;Ceuta;No aplica;0;0;;;0,0;
2023;1;Comunidad Foral de Navarra;Alternativo;23;118;4,66;5,13;0,01;206,61
2023;1;Comunidad Foral de Navarra;Apartamento;29;112;4,71;3,86;0,01;168,34
2023;1;Comunidad Foral de Navarra;Casa entera;810;4656;4,49;5,75;0,25;246,6
2023;1;Comunidad Foral de Navarra;Habitación compartida;12;104;3,98;8,67;0,0;206,17
2023;1;Comunidad Foral de Navarra;Habitación privada;341;964;4,64;2,83;0,1;112,33
2023;1;Comunidad Foral de Navarra;No aplica;0;0;;;0,0;
2023;1;Comunidad de Madrid;Alternativo;96;382;4,67;3,98;0,0;135,86
2023;1;Comunidad de Madrid;Apartamento;544;2020;4,62;3,71;0,02;301,62
2023;1;Comunidad de Madrid;Casa entera;10444;47545;4,54;4,55;0,35;218,81
2023;1;Comunidad de Madrid;Habitación compartida;74;203;4,63;2,74;0,0;52,04
2023;1;Comunidad de Madrid;Habitación privada;4431;10831;4,61;2,44;0,15;102,73
2023;1;Comunidad de Madrid;No aplica;0;0;;;0,0;
2023;1;Comunidad de Madrid;Otros;8;12;4,66;1,5;0,0;121,63
2023;1;Comunitat Valenciana;Alternativo;444;1875;4,7;4,22;0,01;198,03
2023;1;Comunitat Valenciana;Apartamento;1068;4224;4,64;3,96;0,03;122,37
2023;1;Comunitat Valenciana;Casa entera;42184;228225;4,62;5,41;1,29;242,11
2023;1;Comunitat Valenciana;Habitación compartida;28;112;4,67;4,0;0,0;47,21
